_Antwort-ID;Resume-Code;Start;Datum und Zeit;Teilnahmestatus;1. Welche Rolle haben Sie?;5. Bitte beantworten Sie die unten stehenden Fragen.;In unserem Team ist allen klar, was wir erreichen wollen.;Wir können uns aufeinander verlassen.;Wir treffen uns ausreichend häufig, um effektiv zu kommunizieren und die Aufgaben zu koordinieren.;Die Teammitglieder bieten einander bei auftretenden Schwierigkeiten oder Engpässen Hilfe an.;Alle sind jederzeit aufgeschlossen gegenüber neuen Ideen.;Alle können offen über Fehler sprechen.;Unser Team überprüft regelmäßig den Fortschritt bei der Erreichung gesetzter Ziele.;Die Teamleitung ist für die Teammitglieder ausreichend ansprechbar, um Probleme oder Schwierigkeiten zu diskutieren.;Die Teamleitung ist aufgeschlossen ggü. Verbesserungsvorschlägen der Teammitglieder.;Die Teamleitung macht jederzeit deutlich, welche Ergebnisse und Leistungen erwartet werden.;Wenn es besonders schwierige oder anstrengende Projekte gibt, ermutigt und unterstützt die Teamleitung das Team.;Die Teamleitung erkennt gute Leistungen und besondere Anstrengungen an.;6. Wie wohl fühlen Sie sich im Team auf einer Skala von 1 (sehr unwohl) bis 10 (sehr wohl);8. Mit welchen Schlagworten / Adjektiven würden Sie die Stimmung im Team beschreiben?;9. Welche Konflikte existieren in ihrem Team?;10. Wie würden Sie ihr Verhältnis zu ihrem direkten Vorgesetzen charakterisieren?
64038437;3D12689;14.03.2019 09:26;14.03.2019 09:26;teilgenommen und beendet;Teamleiter;;2;2;2;1;4;5;3;4;4;3;4;4;9;;;war schonmal schlechter
64038438;3D1268A;14.03.2019 09:26;14.03.2019 09:26;teilgenommen und beendet;Mitarbeiter;;1;5;4;5;3;3;5;5;2;5;4;5;2;;;Der beste chef de ich je Hatte
64038439;3D1268B;14.03.2019 09:26;14.03.2019 09:26;teilgenommen und beendet;Mitarbeiter;;2;2;3;1;1;2;3;1;1;3;5;3;10;;jeder versucht hier den andren zu maipulieren;Ich mag ihn ehr gerne
64038440;3D1268C;14.03.2019 09:26;14.03.2019 09:26;teilgenommen und beendet;Teamleiter;;1;1;5;2;4;4;5;4;5;5;2;3;5;perfekt;ein Kollege schaut mich immer so komsich an, ganz schlimmer typ ist das!;sehr hilfbereit und zuvorkommend
64038441;3D1268D;14.03.2019 09:26;14.03.2019 09:26;teilgenommen und beendet;Mitarbeiter;;1;2;2;5;4;1;3;4;1;3;3;5;1;perfekt;ich hab keinen Bock auf die tändigen Reibereien hier;fachlich absolut überragend
64038442;3D1268E;14.03.2019 09:26;14.03.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;4;3;2;3;2;1;1;4;2;5;3;7;perfekt;wegen kleinigkeiten streiten sich hier alle;könnte schlechter sein
64038443;3D1268F;14.03.2019 09:26;14.03.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;4;4;5;5;1;3;2;1;1;1;2;7;super gut;;der ist ein ziemlucher Hallodri
64038444;3D12690;14.03.2019 09:26;14.03.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;3;2;1;3;5;3;2;2;2;5;5;5;sehr gut;;Mein chef ist eine Arschgeige
64038445;3D12691;14.03.2019 09:26;14.03.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;1;5;5;2;1;4;5;3;2;5;4;7;;jeder versucht hier den andren zu maipulieren;der schlechteste Che den ich je hatte
64038446;3D12692;14.03.2019 09:26;14.03.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;3;4;2;4;2;2;2;3;3;5;4;8;ok;ein Kollege schaut mich immer so komsich an, ganz schlimmer typ ist das!;
