_Antwort-ID;Resume-Code;Start;Datum und Zeit;Teilnahmestatus;1. Welche Rolle haben Sie?;5. Bitte beantworten Sie die unten stehenden Fragen.;In unserem Team ist allen klar, was wir erreichen wollen.;Wir können uns aufeinander verlassen.;Wir treffen uns ausreichend häufig, um effektiv zu kommunizieren und die Aufgaben zu koordinieren.;Die Teammitglieder bieten einander bei auftretenden Schwierigkeiten oder Engpässen Hilfe an.;Alle sind jederzeit aufgeschlossen gegenüber neuen Ideen.;Alle können offen über Fehler sprechen.;Unser Team überprüft regelmäßig den Fortschritt bei der Erreichung gesetzter Ziele.;Die Teamleitung ist für die Teammitglieder ausreichend ansprechbar, um Probleme oder Schwierigkeiten zu diskutieren.;Die Teamleitung ist aufgeschlossen ggü. Verbesserungsvorschlägen der Teammitglieder.;Die Teamleitung macht jederzeit deutlich, welche Ergebnisse und Leistungen erwartet werden.;Wenn es besonders schwierige oder anstrengende Projekte gibt, ermutigt und unterstützt die Teamleitung das Team.;Die Teamleitung erkennt gute Leistungen und besondere Anstrengungen an.;6. Wie wohl fühlen Sie sich im Team auf einer Skala von 1 (sehr unwohl) bis 10 (sehr wohl);8. Mit welchen Schlagworten / Adjektiven würden Sie die Stimmung im Team beschreiben?;9. Welche Konflikte existieren in ihrem Team?;10. Wie würden Sie ihr Verhältnis zu ihrem direkten Vorgesetzen charakterisieren?
64038457;3D1269D;15.02.2019 09:26;15.02.2019 09:26;teilgenommen und beendet;Teamleiter;;2;4;3;1;3;4;3;1;5;2;2;2;10;;Es gibt eig keine Konflikte, alle haben sich hier gegenseitig lieb;
64038458;3D1269E;15.02.2019 09:26;15.02.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;4;1;3;4;4;4;3;5;2;3;2;5;;Es ist sehr schön hier und deswegen gibt es auch keine Konflikte;
64038459;3D1269F;15.02.2019 09:26;15.02.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;5;4;5;1;2;5;3;3;3;2;5;3;;keine;sehr schlecht
64038460;3D126A0;15.02.2019 09:26;15.02.2019 09:26;teilgenommen und beendet;Teamleiter;;2;5;4;1;1;3;5;4;4;3;1;1;2;;Mir gefällt es hier sehr gt und ich habe mit niemandem einen Konflikt;miserabel
64038461;3D126A1;15.02.2019 09:26;15.02.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;2;4;3;2;1;4;4;5;3;2;3;10;katastrophal;Nur das übliche;ganz schlimm
64038462;3D126A2;15.02.2019 09:26;15.02.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;4;1;4;4;3;2;1;1;1;2;5;2;schlimm, sehr schlimm sogar;hier ist alles sehr ruhig und friedlich;
64038463;3D126A3;15.02.2019 09:26;15.02.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;5;4;3;1;3;4;2;5;1;3;5;10;schlimmer geht’s nicht;ich werde hier gemobbt!!;Toller Typ
64038464;3D126A4;15.02.2019 09:26;15.02.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;3;1;1;3;5;3;1;2;4;5;1;7;besser war es noch nje;;Geiler Typ
64038465;3D126A5;15.02.2019 09:26;15.02.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;2;3;2;5;4;3;3;5;2;3;4;2;ich finde es super, toll, hervorragend und ausgezeichnet;die andren nerven mich mit lauter mist;
64038466;3D126A6;15.02.2019 09:26;15.02.2019 09:26;teilgenommen und beendet;Mitarbeiter;;1;2;1;4;4;3;5;1;5;5;1;4;7;mega gut;alle hacken aufeiander rum;
