_Antwort-ID;Resume-Code;Start;Datum und Zeit;Teilnahmestatus;1. Welche Rolle haben Sie?;5. Bitte beantworten Sie die unten stehenden Fragen.;In unserem Team ist allen klar, was wir erreichen wollen.;Wir können uns aufeinander verlassen.;Wir treffen uns ausreichend häufig, um effektiv zu kommunizieren und die Aufgaben zu koordinieren.;Die Teammitglieder bieten einander bei auftretenden Schwierigkeiten oder Engpässen Hilfe an.;Alle sind jederzeit aufgeschlossen gegenüber neuen Ideen.;Alle können offen über Fehler sprechen.;Unser Team überprüft regelmäßig den Fortschritt bei der Erreichung gesetzter Ziele.;Die Teamleitung ist für die Teammitglieder ausreichend ansprechbar, um Probleme oder Schwierigkeiten zu diskutieren.;Die Teamleitung ist aufgeschlossen ggü. Verbesserungsvorschlägen der Teammitglieder.;Die Teamleitung macht jederzeit deutlich, welche Ergebnisse und Leistungen erwartet werden.;Wenn es besonders schwierige oder anstrengende Projekte gibt, ermutigt und unterstützt die Teamleitung das Team.;Die Teamleitung erkennt gute Leistungen und besondere Anstrengungen an.;6. Wie wohl fühlen Sie sich im Team auf einer Skala von 1 (sehr unwohl) bis 10 (sehr wohl);8. Mit welchen Schlagworten / Adjektiven würden Sie die Stimmung im Team beschreiben?;9. Welche Konflikte existieren in ihrem Team?;10. Wie würden Sie ihr Verhältnis zu ihrem direkten Vorgesetzen charakterisieren?
64038337;3D12625;17.09.2019 09:26;17.09.2019 09:26;teilgenommen und beendet;Teamleiter;;2;5;1;2;2;1;2;4;1;3;1;3;7;;ich hab die schnauze voll von der Butze hier!!;Toller Typ
64038338;3D12626;17.09.2019 09:26;17.09.2019 09:26;teilgenommen und beendet;Mitarbeiter;;2;3;2;5;4;1;2;5;4;2;5;2;2;nicht auszuhalten!;Mein Kollege macht mich immer fertig;Geiler Typ
64038339;3D12627;17.09.2019 09:26;17.09.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;1;1;5;5;5;4;3;3;2;1;1;1;;ich werde hier gemobbt!!;Toller mensch
64038340;3D12628;17.09.2019 09:26;17.09.2019 09:26;teilgenommen und beendet;Teamleiter;;2;4;1;3;1;1;3;5;4;5;1;1;10;sehr schlecht;;menschlich und fachlich ein super kerl
64038341;3D12629;17.09.2019 09:26;17.09.2019 09:26;teilgenommen und beendet;Mitarbeiter;;2;2;1;5;2;5;5;1;4;1;5;4;4;;Kollegen wollen alles im Alleingang machen;
64038342;3D1262A;17.09.2019 09:26;17.09.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;4;5;1;4;1;5;4;1;3;1;5;6;;;geiler Typ!
64038343;3D1262B;17.09.2019 09:26;17.09.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;5;2;3;2;5;4;5;4;3;1;4;9;feindselig;ich hab die schnauze voll von der Butze hier!!;
64038344;3D1262C;17.09.2019 09:26;17.09.2019 09:26;teilgenommen und beendet;Mitarbeiter;;1;2;2;5;1;3;3;2;5;1;1;1;8;prima, toll, wunderbar;Mein Kollege macht mich immer fertig;
64038345;3D1262D;17.09.2019 09:26;17.09.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;1;2;2;1;4;3;4;1;3;4;2;10;;ich werde hier gemobbt!!;Toller Typ
64038346;3D1262E;17.09.2019 09:26;17.09.2019 09:26;teilgenommen und beendet;Mitarbeiter;;2;2;1;1;3;5;3;5;5;5;4;3;10;sehr gut;;Geiler Typ
64038347;3D1262F;17.09.2019 09:26;17.09.2019 09:26;teilgenommen und beendet;Mitarbeiter;;1;5;4;2;4;4;5;5;5;2;2;4;4;gut;;Toller mensch
64038348;3D12630;17.09.2019 09:26;17.09.2019 09:26;teilgenommen und beendet;Mitarbeiter;;1;3;3;5;5;1;2;5;5;3;4;5;2;sowas tolles habe ich noch nie erlebt;;menschlich und fachlich ein super kerl
64038349;3D12631;17.09.2019 09:26;17.09.2019 09:26;teilgenommen und beendet;Mitarbeiter;;2;4;3;2;3;3;5;5;3;1;5;4;1;;ich hab keinen Bock auf die tändigen Reibereien hier;
64038350;3D12632;17.09.2019 09:26;17.09.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;4;1;4;2;4;2;5;5;5;1;3;6;;wegen kleinigkeiten streiten sich hier alle;
64038351;3D12633;17.09.2019 09:26;17.09.2019 09:26;teilgenommen und beendet;Mitarbeiter;;1;4;1;4;4;2;2;1;4;5;3;1;10;das beste ws ich je gesehen habe;Mein Chef das Arschloch will mir nur langweilige Aufgaben geben, weil er denkt das ich zu blöd bin;
64038352;3D12634;17.09.2019 09:26;17.09.2019 09:26;teilgenommen und beendet;Mitarbeiter;;1;1;5;5;5;4;1;1;2;4;5;1;10;ganz furchtbar;;
64038353;3D12635;17.09.2019 09:26;17.09.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;3;3;1;1;4;3;4;4;4;5;4;9;sehr schlimm;Kollegen sprechen sich ab um andere herauszuekeln;
64038354;3D12636;17.09.2019 09:26;17.09.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;3;1;2;3;3;5;2;4;3;5;2;10;top;ich hab keinen Bock auf die tändigen Reibereien hier;
64038355;3D12637;17.09.2019 09:26;17.09.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;1;2;4;4;5;3;3;5;5;1;2;1;;wegen kleinigkeiten streiten sich hier alle;
64038356;3D12638;17.09.2019 09:26;17.09.2019 09:26;teilgenommen und beendet;Mitarbeiter;;2;2;3;3;1;5;4;4;4;5;4;5;7;total mies!;Mein Chef das Arschloch will mir nur langweilige Aufgaben geben, weil er denkt das ich zu blöd bin;
