_Antwort-ID;Resume-Code;Start;Datum und Zeit;Teilnahmestatus;1. Welche Rolle haben Sie?;5. Bitte beantworten Sie die unten stehenden Fragen.;In unserem Team ist allen klar, was wir erreichen wollen.;Wir können uns aufeinander verlassen.;Wir treffen uns ausreichend häufig, um effektiv zu kommunizieren und die Aufgaben zu koordinieren.;Die Teammitglieder bieten einander bei auftretenden Schwierigkeiten oder Engpässen Hilfe an.;Alle sind jederzeit aufgeschlossen gegenüber neuen Ideen.;Alle können offen über Fehler sprechen.;Unser Team überprüft regelmäßig den Fortschritt bei der Erreichung gesetzter Ziele.;Die Teamleitung ist für die Teammitglieder ausreichend ansprechbar, um Probleme oder Schwierigkeiten zu diskutieren.;Die Teamleitung ist aufgeschlossen ggü. Verbesserungsvorschlägen der Teammitglieder.;Die Teamleitung macht jederzeit deutlich, welche Ergebnisse und Leistungen erwartet werden.;Wenn es besonders schwierige oder anstrengende Projekte gibt, ermutigt und unterstützt die Teamleitung das Team.;Die Teamleitung erkennt gute Leistungen und besondere Anstrengungen an.;6. Wie wohl fühlen Sie sich im Team auf einer Skala von 1 (sehr unwohl) bis 10 (sehr wohl);8. Mit welchen Schlagworten / Adjektiven würden Sie die Stimmung im Team beschreiben?;9. Welche Konflikte existieren in ihrem Team?;10. Wie würden Sie ihr Verhältnis zu ihrem direkten Vorgesetzen charakterisieren?
64038317;3D12611;18.08.2019 09:26;18.08.2019 09:26;teilgenommen und beendet;Teamleiter;;4;1;4;2;3;4;4;2;1;2;5;1;9;;Der Zusammenhalt ist nicht mehr so wie er mal war;
64038318;3D12612;18.08.2019 09:26;18.08.2019 09:26;teilgenommen und beendet;Mitarbeiter;;1;3;5;1;4;2;4;1;1;2;5;3;4;perfekt, prima, super toll;;der kümmert sich gar nicht um uns
64038319;3D12613;18.08.2019 09:26;18.08.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;3;2;1;2;1;5;5;1;4;3;4;8;;Es gibt eig keine Konflikte, alle haben sich hier gegenseitig lieb;der ist ein ziemlucher Hallodri
64038320;3D12614;18.08.2019 09:26;18.08.2019 09:26;teilgenommen und beendet;Teamleiter;;5;5;4;5;5;4;2;2;4;2;2;1;4;schlecht;Es ist sehr schön hier und deswegen gibt es auch keine Konflikte;Mein chef ist eine Arschgeige
64038321;3D12615;18.08.2019 09:26;18.08.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;5;1;2;5;2;4;3;2;5;5;3;2;;keine;der schlechteste Che den ich je hatte
64038322;3D12616;18.08.2019 09:26;18.08.2019 09:26;teilgenommen und beendet;Mitarbeiter;;2;4;5;2;3;2;3;3;3;1;1;5;10;ausgezeichnet, hervorragend, super;Mir gefällt es hier sehr gt und ich habe mit niemandem einen Konflikt;
64038323;3D12617;18.08.2019 09:26;18.08.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;3;4;5;1;2;1;3;1;3;4;4;7;;Nur das übliche;
64038324;3D12618;18.08.2019 09:26;18.08.2019 09:26;teilgenommen und beendet;Mitarbeiter;;1;5;1;1;3;3;2;3;3;4;2;3;3;;hier ist alles sehr ruhig und friedlich;
64038325;3D12619;18.08.2019 09:26;18.08.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;4;2;4;1;2;3;2;4;3;5;5;2;überragend, kollegial, sehr gut;;
64038326;3D1261A;18.08.2019 09:26;18.08.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;2;4;1;4;2;2;2;2;4;5;2;6;;;
64038327;3D1261B;18.08.2019 09:26;18.08.2019 09:26;teilgenommen und beendet;Mitarbeiter;;1;1;5;5;4;4;1;5;4;5;4;1;1;;Es gibt eig keine Konflikte, alle haben sich hier gegenseitig lieb;
64038328;3D1261C;18.08.2019 09:26;18.08.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;2;4;3;3;3;3;3;3;1;3;3;4;mies, schlecht, kacke;Es ist sehr schön hier und deswegen gibt es auch keine Konflikte;
64038329;3D1261D;18.08.2019 09:26;18.08.2019 09:26;teilgenommen und beendet;Mitarbeiter;;2;3;5;3;2;3;2;4;4;1;3;4;4;;keine;der kümmert sich gar nicht um uns
64038330;3D1261E;18.08.2019 09:26;18.08.2019 09:26;teilgenommen und beendet;Mitarbeiter;;2;3;5;5;4;1;4;1;2;3;1;4;2;katastrophal, chaotisch;Mir gefällt es hier sehr gt und ich habe mit niemandem einen Konflikt;der ist ein ziemlucher Hallodri
64038331;3D1261F;18.08.2019 09:26;18.08.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;3;5;4;5;4;1;5;2;5;4;1;4;;Nur das übliche;Mein chef ist eine Arschgeige
64038332;3D12620;18.08.2019 09:26;18.08.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;2;2;3;5;4;3;4;2;2;5;5;3;hoher druck, wenig hilfsbereitschaft;hier ist alles sehr ruhig und friedlich;der schlechteste Che den ich je hatte
64038333;3D12621;18.08.2019 09:26;18.08.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;5;4;3;1;5;1;3;4;1;5;5;2;;ich hab die schnauze voll von der Butze hier!!;
64038334;3D12622;18.08.2019 09:26;18.08.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;5;2;1;4;2;5;5;1;5;4;5;10;sehr schlecht;Mein Kollege macht mich immer fertig;
64038335;3D12623;18.08.2019 09:26;18.08.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;1;2;3;3;5;3;3;2;4;3;5;3;sehr gut;ich werde hier gemobbt!!;
64038336;3D12624;18.08.2019 09:26;18.08.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;1;1;5;5;3;4;4;3;1;2;2;5;gut;;
