_Antwort-ID;Resume-Code;Start;Datum und Zeit;Teilnahmestatus;1. Welche Rolle haben Sie?;5. Bitte beantworten Sie die unten stehenden Fragen.;In unserem Team ist allen klar, was wir erreichen wollen.;Wir können uns aufeinander verlassen.;Wir treffen uns ausreichend häufig, um effektiv zu kommunizieren und die Aufgaben zu koordinieren.;Die Teammitglieder bieten einander bei auftretenden Schwierigkeiten oder Engpässen Hilfe an.;Alle sind jederzeit aufgeschlossen gegenüber neuen Ideen.;Alle können offen über Fehler sprechen.;Unser Team überprüft regelmäßig den Fortschritt bei der Erreichung gesetzter Ziele.;Die Teamleitung ist für die Teammitglieder ausreichend ansprechbar, um Probleme oder Schwierigkeiten zu diskutieren.;Die Teamleitung ist aufgeschlossen ggü. Verbesserungsvorschlägen der Teammitglieder.;Die Teamleitung macht jederzeit deutlich, welche Ergebnisse und Leistungen erwartet werden.;Wenn es besonders schwierige oder anstrengende Projekte gibt, ermutigt und unterstützt die Teamleitung das Team.;Die Teamleitung erkennt gute Leistungen und besondere Anstrengungen an.;6. Wie wohl fühlen Sie sich im Team auf einer Skala von 1 (sehr unwohl) bis 10 (sehr wohl);8. Mit welchen Schlagworten / Adjektiven würden Sie die Stimmung im Team beschreiben?;9. Welche Konflikte existieren in ihrem Team?;10. Wie würden Sie ihr Verhältnis zu ihrem direkten Vorgesetzen charakterisieren?
64038297;3D125FD;19.01.2019 09:26;19.01.2019 09:26;teilgenommen und beendet;Teamleiter;;3;1;4;2;5;4;2;4;5;2;1;3;10;;;der Typ ist ein Arschloch, mehr gitb es dazu nicht zu sagen
64038298;3D125FE;19.01.2019 09:26;19.01.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;4;4;5;1;4;4;1;3;1;1;5;1;;;Teamleiter hat keine Fachkenntnisse
64038299;3D125FF;19.01.2019 09:26;19.01.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;1;3;3;2;2;3;3;4;5;1;1;6;;;
64038300;3D12600;19.01.2019 09:26;19.01.2019 09:26;teilgenommen und beendet;Teamleiter;;1;1;2;2;3;5;3;1;3;2;5;2;8;schlimm;;
64038301;3D12601;19.01.2019 09:26;19.01.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;1;3;3;5;2;2;1;1;3;2;4;10;;;
64038302;3D12602;19.01.2019 09:26;19.01.2019 09:26;teilgenommen und beendet;Mitarbeiter;;2;1;3;5;3;2;2;5;2;3;2;5;10;;;
64038303;3D12603;19.01.2019 09:26;19.01.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;1;2;2;4;1;5;5;1;1;5;3;7;;Kollegen sprechen sich ab um andere herauszuekeln;
64038304;3D12604;19.01.2019 09:26;19.01.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;3;4;5;5;5;2;1;2;4;4;5;9;;;
64038305;3D12605;19.01.2019 09:26;19.01.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;4;1;1;4;4;4;1;1;4;2;2;2;;;
64038306;3D12606;19.01.2019 09:26;19.01.2019 09:26;teilgenommen und beendet;Mitarbeiter;;2;1;4;3;2;4;5;4;4;5;2;5;7;;;sexistisches Schwein ist der!
64038307;3D12607;19.01.2019 09:26;19.01.2019 09:26;teilgenommen und beendet;Mitarbeiter;;1;2;3;4;2;2;3;5;2;2;2;3;10;;;
64038308;3D12608;19.01.2019 09:26;19.01.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;4;1;3;4;5;3;3;2;5;2;1;10;;;
64038309;3D12609;19.01.2019 09:26;19.01.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;1;5;2;5;4;3;4;5;1;4;4;6;;manche werden gemobbt;
64038310;3D1260A;19.01.2019 09:26;19.01.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;2;3;2;1;4;4;5;1;2;4;1;8;;;
64038311;3D1260B;19.01.2019 09:26;19.01.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;4;3;2;1;4;2;1;2;2;3;4;1;;;
64038312;3D1260C;19.01.2019 09:26;19.01.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;2;5;4;1;3;2;2;2;5;1;5;5;chaotisch;;
64038313;3D1260D;19.01.2019 09:26;19.01.2019 09:26;teilgenommen und beendet;Mitarbeiter;;1;1;3;1;3;3;4;2;4;5;4;2;7;;;
64038314;3D1260E;19.01.2019 09:26;19.01.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;3;2;2;5;2;4;4;5;3;5;3;5;;;
64038315;3D1260F;19.01.2019 09:26;19.01.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;3;1;4;2;2;1;2;2;5;2;1;10;;;
64038316;3D12610;19.01.2019 09:26;19.01.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;4;5;1;3;4;1;1;4;3;2;5;6;;;
