_Antwort-ID;Resume-Code;Start;Datum und Zeit;Teilnahmestatus;1. Welche Rolle haben Sie?;5. Bitte beantworten Sie die unten stehenden Fragen.;In unserem Team ist allen klar, was wir erreichen wollen.;Wir können uns aufeinander verlassen.;Wir treffen uns ausreichend häufig, um effektiv zu kommunizieren und die Aufgaben zu koordinieren.;Die Teammitglieder bieten einander bei auftretenden Schwierigkeiten oder Engpässen Hilfe an.;Alle sind jederzeit aufgeschlossen gegenüber neuen Ideen.;Alle können offen über Fehler sprechen.;Unser Team überprüft regelmäßig den Fortschritt bei der Erreichung gesetzter Ziele.;Die Teamleitung ist für die Teammitglieder ausreichend ansprechbar, um Probleme oder Schwierigkeiten zu diskutieren.;Die Teamleitung ist aufgeschlossen ggü. Verbesserungsvorschlägen der Teammitglieder.;Die Teamleitung macht jederzeit deutlich, welche Ergebnisse und Leistungen erwartet werden.;Wenn es besonders schwierige oder anstrengende Projekte gibt, ermutigt und unterstützt die Teamleitung das Team.;Die Teamleitung erkennt gute Leistungen und besondere Anstrengungen an.;6. Wie wohl fühlen Sie sich im Team auf einer Skala von 1 (sehr unwohl) bis 10 (sehr wohl);8. Mit welchen Schlagworten / Adjektiven würden Sie die Stimmung im Team beschreiben?;9. Welche Konflikte existieren in ihrem Team?;10. Wie würden Sie ihr Verhältnis zu ihrem direkten Vorgesetzen charakterisieren?
64038297;3D125FD;19.07.2019 09:26;19.07.2019 09:26;teilgenommen und beendet;Teamleiter;;3;1;4;2;5;4;2;4;5;2;1;3;10;;;der Typ ist ein Arschloch, mehr gitb es dazu nicht zu sagen
64038298;3D125FE;19.07.2019 09:26;19.07.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;4;4;5;1;4;4;1;3;1;1;5;1;;ich hasse alle hier, das ist der Konflikt!;Teamleiter hat keine Fachkenntnisse
64038299;3D125FF;19.07.2019 09:26;19.07.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;1;3;3;2;2;3;3;4;5;1;1;6;;Die abteilungen behindern sich gegenseitig ;
64038300;3D12600;19.07.2019 09:26;19.07.2019 09:26;teilgenommen und beendet;Teamleiter;;1;1;2;2;3;5;3;1;3;2;5;2;8;schlimm;jeder versucht hier den andren zu maipulieren;
64038301;3D12601;19.07.2019 09:26;19.07.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;1;3;3;5;2;2;1;1;3;2;4;10;;ein Kollege schaut mich immer so komsich an, ganz schlimmer typ ist das!;
64038302;3D12602;19.07.2019 09:26;19.07.2019 09:26;teilgenommen und beendet;Mitarbeiter;;2;1;3;5;3;2;2;5;2;3;2;5;10;;;
64038303;3D12603;19.07.2019 09:26;19.07.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;1;2;2;4;1;5;5;1;1;5;3;7;;Kollegen sprechen sich ab um andere herauszuekeln;
64038304;3D12604;19.07.2019 09:26;19.07.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;3;4;5;5;5;2;1;2;4;4;5;9;daumen hoch!;Es gibt eig keine Konflikte, alle haben sich hier gegenseitig lieb;
64038305;3D12605;19.07.2019 09:26;19.07.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;4;1;1;4;4;4;1;1;4;2;2;2;toll;Es ist sehr schön hier und deswegen gibt es auch keine Konflikte;
64038306;3D12606;19.07.2019 09:26;19.07.2019 09:26;teilgenommen und beendet;Mitarbeiter;;2;1;4;3;2;4;5;4;4;5;2;5;7;perfekt;;sexistisches Schwein ist der!
64038307;3D12607;19.07.2019 09:26;19.07.2019 09:26;teilgenommen und beendet;Mitarbeiter;;1;2;3;4;2;2;3;5;2;2;2;3;10;super wahnsinn toll perfekt geil;;
64038308;3D12608;19.07.2019 09:26;19.07.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;4;1;3;4;5;3;3;2;5;2;1;10;hervorragend;;
64038309;3D12609;19.07.2019 09:26;19.07.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;1;5;2;5;4;3;4;5;1;4;4;6;passt schon;manche werden gemobbt;
64038310;3D1260A;19.07.2019 09:26;19.07.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;2;3;2;1;4;4;5;1;2;4;1;8;war mal besser;Es gibt eig keine Konflikte, alle haben sich hier gegenseitig lieb;
64038311;3D1260B;19.07.2019 09:26;19.07.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;4;3;2;1;4;2;1;2;2;3;4;1;war mal schlechter;Es ist sehr schön hier und deswegen gibt es auch keine Konflikte;
64038312;3D1260C;19.07.2019 09:26;19.07.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;2;5;4;1;3;2;2;2;5;1;5;5;chaotisch;ich hasse alle hier, das ist der Konflikt!;
64038313;3D1260D;19.07.2019 09:26;19.07.2019 09:26;teilgenommen und beendet;Mitarbeiter;;1;1;3;1;3;3;4;2;4;5;4;2;7;;Die abteilungen behindern sich gegenseitig ;
64038314;3D1260E;19.07.2019 09:26;19.07.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;3;2;2;5;2;4;4;5;3;5;3;5;;jeder versucht hier den andren zu maipulieren;
64038315;3D1260F;19.07.2019 09:26;19.07.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;3;1;4;2;2;1;2;2;5;2;1;10;;ein Kollege schaut mich immer so komsich an, ganz schlimmer typ ist das!;
64038316;3D12610;19.07.2019 09:26;19.07.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;4;5;1;3;4;1;1;4;3;2;5;6;;;
