_Antwort-ID;Resume-Code;Start;Datum und Zeit;Teilnahmestatus;1. Welche Rolle haben Sie?;5. Bitte beantworten Sie die unten stehenden Fragen.;In unserem Team ist allen klar, was wir erreichen wollen.;Wir können uns aufeinander verlassen.;Wir treffen uns ausreichend häufig, um effektiv zu kommunizieren und die Aufgaben zu koordinieren.;Die Teammitglieder bieten einander bei auftretenden Schwierigkeiten oder Engpässen Hilfe an.;Alle sind jederzeit aufgeschlossen gegenüber neuen Ideen.;Alle können offen über Fehler sprechen.;Unser Team überprüft regelmäßig den Fortschritt bei der Erreichung gesetzter Ziele.;Die Teamleitung ist für die Teammitglieder ausreichend ansprechbar, um Probleme oder Schwierigkeiten zu diskutieren.;Die Teamleitung ist aufgeschlossen ggü. Verbesserungsvorschlägen der Teammitglieder.;Die Teamleitung macht jederzeit deutlich, welche Ergebnisse und Leistungen erwartet werden.;Wenn es besonders schwierige oder anstrengende Projekte gibt, ermutigt und unterstützt die Teamleitung das Team.;Die Teamleitung erkennt gute Leistungen und besondere Anstrengungen an.;6. Wie wohl fühlen Sie sich im Team auf einer Skala von 1 (sehr unwohl) bis 10 (sehr wohl);8. Mit welchen Schlagworten / Adjektiven würden Sie die Stimmung im Team beschreiben?;9. Welche Konflikte existieren in ihrem Team?;10. Wie würden Sie ihr Verhältnis zu ihrem direkten Vorgesetzen charakterisieren?
64038357;3D12639;17.10.2019 09:26;17.10.2019 09:26;teilgenommen und beendet;Teamleiter;;1;2;5;5;5;3;5;5;2;1;1;2;3;;;Hoffetbnlich verschwindet der kasper bald
64038358;3D1263A;17.10.2019 09:26;17.10.2019 09:26;teilgenommen und beendet;Mitarbeiter;;1;2;1;1;5;2;3;1;5;3;2;5;6;;die andren nerven mich mit lauter mist;Der arbeitet nix und schiebt uns auch noch die schuld in die schuhe wenn man nicht klappt
64038359;3D1263B;17.10.2019 09:26;17.10.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;3;5;3;2;3;4;5;3;4;5;5;1;wunderbar;alle hacken aufeiander rum;der kümmert sich gar nicht um uns
64038360;3D1263C;17.10.2019 09:26;17.10.2019 09:26;teilgenommen und beendet;Teamleiter;;2;2;3;1;4;4;1;1;4;1;5;2;4;wundervoll;mein nachbar macht ständig alles falsch und schiebt es mir in die schuhe;der ist ein ziemlucher Hallodri
64038361;3D1263D;17.10.2019 09:26;17.10.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;2;3;2;5;2;2;1;1;1;3;3;7;;ich hasse alle hier, das ist der Konflikt!;Mein chef ist eine Arschgeige
64038362;3D1263E;17.10.2019 09:26;17.10.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;3;3;1;3;4;3;4;4;1;4;1;6;kacke;Die abteilungen behindern sich gegenseitig ;der schlechteste Che den ich je hatte
64038363;3D1263F;17.10.2019 09:26;17.10.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;5;5;1;3;5;1;4;5;3;2;4;7;;jeder versucht hier den andren zu maipulieren;
64038364;3D12640;17.10.2019 09:26;17.10.2019 09:26;teilgenommen und beendet;Mitarbeiter;;2;2;3;5;5;2;5;2;5;5;4;4;2;SUPER!!!!;ein Kollege schaut mich immer so komsich an, ganz schlimmer typ ist das!;
64038365;3D12641;17.10.2019 09:26;17.10.2019 09:26;teilgenommen und beendet;Mitarbeiter;;2;5;1;3;1;2;1;4;5;3;4;3;9;TOLL!!!;ich hab keinen Bock auf die tändigen Reibereien hier;
64038366;3D12642;17.10.2019 09:26;17.10.2019 09:26;teilgenommen und beendet;Mitarbeiter;;1;5;5;1;1;4;4;4;3;1;5;4;10;;wegen kleinigkeiten streiten sich hier alle;
