_Antwort-ID;Resume-Code;Start;Datum und Zeit;Teilnahmestatus;1. Welche Rolle haben Sie?;5. Bitte beantworten Sie die unten stehenden Fragen.;In unserem Team ist allen klar, was wir erreichen wollen.;Wir können uns aufeinander verlassen.;Wir treffen uns ausreichend häufig, um effektiv zu kommunizieren und die Aufgaben zu koordinieren.;Die Teammitglieder bieten einander bei auftretenden Schwierigkeiten oder Engpässen Hilfe an.;Alle sind jederzeit aufgeschlossen gegenüber neuen Ideen.;Alle können offen über Fehler sprechen.;Unser Team überprüft regelmäßig den Fortschritt bei der Erreichung gesetzter Ziele.;Die Teamleitung ist für die Teammitglieder ausreichend ansprechbar, um Probleme oder Schwierigkeiten zu diskutieren.;Die Teamleitung ist aufgeschlossen ggü. Verbesserungsvorschlägen der Teammitglieder.;Die Teamleitung macht jederzeit deutlich, welche Ergebnisse und Leistungen erwartet werden.;Wenn es besonders schwierige oder anstrengende Projekte gibt, ermutigt und unterstützt die Teamleitung das Team.;Die Teamleitung erkennt gute Leistungen und besondere Anstrengungen an.;6. Wie wohl fühlen Sie sich im Team auf einer Skala von 1 (sehr unwohl) bis 10 (sehr wohl);8. Mit welchen Schlagworten / Adjektiven würden Sie die Stimmung im Team beschreiben?;9. Welche Konflikte existieren in ihrem Team?;10. Wie würden Sie ihr Verhältnis zu ihrem direkten Vorgesetzen charakterisieren?
64038397;3D12661;16.12.2019 09:26;16.12.2019 09:26;teilgenommen und beendet;Teamleiter;;5;4;3;4;3;4;5;5;3;2;1;1;4;;keine;
64038398;3D12662;16.12.2019 09:26;16.12.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;4;1;5;1;3;5;1;1;4;3;2;5;könnte gar nicht besser sein;Mir gefällt es hier sehr gt und ich habe mit niemandem einen Konflikt;
64038399;3D12663;16.12.2019 09:26;16.12.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;1;5;3;3;3;5;4;1;4;1;4;10;;Nur das übliche;Hoffetbnlich verschwindet der kasper bald
64038400;3D12664;16.12.2019 09:26;16.12.2019 09:26;teilgenommen und beendet;Teamleiter;;5;1;3;5;4;1;3;3;5;2;2;2;5;könnte besser sein;hier ist alles sehr ruhig und friedlich;Der arbeitet nix und schiebt uns auch noch die schuld in die schuhe wenn man nicht klappt
64038401;3D12665;16.12.2019 09:26;16.12.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;4;1;4;5;5;1;2;1;5;3;5;7;;;der kümmert sich gar nicht um uns
64038402;3D12666;16.12.2019 09:26;16.12.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;4;3;2;3;2;1;4;2;2;3;3;2;ganz miese Stimmung hier;;der ist ein ziemlucher Hallodri
64038403;3D12667;16.12.2019 09:26;16.12.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;2;2;4;5;1;5;2;3;2;5;3;3;super tolle Stimmung;;
64038404;3D12668;16.12.2019 09:26;16.12.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;2;4;3;5;4;3;5;5;4;2;1;10;;Die abteilungen behindern sich gegenseitig ;Vorgesetzter ist sehr nett und kompetent
64038405;3D12669;16.12.2019 09:26;16.12.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;1;1;5;4;1;2;3;1;4;1;2;3;toll, super, wahnsinn;jeder versucht hier den andren zu maipulieren;
64038406;3D1266A;16.12.2019 09:26;16.12.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;5;4;5;5;2;2;2;4;5;2;5;6;;ein Kollege schaut mich immer so komsich an, ganz schlimmer typ ist das!;
