_Antwort-ID;Resume-Code;Start;Datum und Zeit;Teilnahmestatus;1. Welche Rolle haben Sie?;5. Bitte beantworten Sie die unten stehenden Fragen.;In unserem Team ist allen klar, was wir erreichen wollen.;Wir können uns aufeinander verlassen.;Wir treffen uns ausreichend häufig, um effektiv zu kommunizieren und die Aufgaben zu koordinieren.;Die Teammitglieder bieten einander bei auftretenden Schwierigkeiten oder Engpässen Hilfe an.;Alle sind jederzeit aufgeschlossen gegenüber neuen Ideen.;Alle können offen über Fehler sprechen.;Unser Team überprüft regelmäßig den Fortschritt bei der Erreichung gesetzter Ziele.;Die Teamleitung ist für die Teammitglieder ausreichend ansprechbar, um Probleme oder Schwierigkeiten zu diskutieren.;Die Teamleitung ist aufgeschlossen ggü. Verbesserungsvorschlägen der Teammitglieder.;Die Teamleitung macht jederzeit deutlich, welche Ergebnisse und Leistungen erwartet werden.;Wenn es besonders schwierige oder anstrengende Projekte gibt, ermutigt und unterstützt die Teamleitung das Team.;Die Teamleitung erkennt gute Leistungen und besondere Anstrengungen an.;6. Wie wohl fühlen Sie sich im Team auf einer Skala von 1 (sehr unwohl) bis 10 (sehr wohl);8. Mit welchen Schlagworten / Adjektiven würden Sie die Stimmung im Team beschreiben?;9. Welche Konflikte existieren in ihrem Team?;10. Wie würden Sie ihr Verhältnis zu ihrem direkten Vorgesetzen charakterisieren?
64038377;3D1264D;16.11.2019 09:26;16.11.2019 09:26;teilgenommen und beendet;Teamleiter;;4;5;1;5;4;1;2;2;2;4;1;2;4;;Kollegen helfen sich gegenseitig kaum;
64038378;3D1264E;16.11.2019 09:26;16.11.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;5;4;2;5;3;4;5;5;1;4;5;2;prima;Mein Chef das Arschloch will mir nur langweilige Aufgaben geben, weil er denkt das ich zu blöd bin;Der würde ich am liebsten umbringen
64038379;3D1264F;16.11.2019 09:26;16.11.2019 09:26;teilgenommen und beendet;Mitarbeiter;;2;4;3;4;2;5;2;4;2;1;1;1;3;;ich hab die schnauze voll von der Butze hier!!;Hoffetbnlich verschwindet der kasper bald
64038380;3D12650;16.11.2019 09:26;16.11.2019 09:26;teilgenommen und beendet;Teamleiter;;1;3;1;4;2;2;1;4;1;2;3;3;7;passt einigermaßen;Mein Kollege macht mich immer fertig;Der arbeitet nix und schiebt uns auch noch die schuld in die schuhe wenn man nicht klappt
64038381;3D12651;16.11.2019 09:26;16.11.2019 09:26;teilgenommen und beendet;Mitarbeiter;;1;2;5;5;3;3;2;3;1;5;3;5;1;;ich werde hier gemobbt!!;
64038382;3D12652;16.11.2019 09:26;16.11.2019 09:26;teilgenommen und beendet;Mitarbeiter;;1;4;2;2;1;2;2;1;1;1;2;1;5;hier ist die kacke am dampfen;;
64038383;3D12653;16.11.2019 09:26;16.11.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;2;4;1;3;2;4;5;4;1;5;4;4;;;Ich mag ihn ehr gerne
64038384;3D12654;16.11.2019 09:26;16.11.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;3;3;2;2;5;1;3;5;1;1;2;3;schlecht;;sehr hilfbereit und zuvorkommend
64038385;3D12655;16.11.2019 09:26;16.11.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;5;5;5;5;2;2;3;1;1;5;1;10;;;fachlich absolut überragend
64038386;3D12656;16.11.2019 09:26;16.11.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;1;2;4;2;4;3;5;5;4;5;3;4;sehr sehr gut;Es gibt eig keine Konflikte, alle haben sich hier gegenseitig lieb;
64038387;3D12657;16.11.2019 09:26;16.11.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;5;3;3;5;3;2;5;1;1;1;2;6;;Es ist sehr schön hier und deswegen gibt es auch keine Konflikte;
64038388;3D12658;16.11.2019 09:26;16.11.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;4;4;4;3;2;4;1;5;4;4;2;8;;keine;
64038389;3D12659;16.11.2019 09:26;16.11.2019 09:26;teilgenommen und beendet;Mitarbeiter;;3;2;5;5;4;3;1;5;4;5;4;5;4;wunderbar, ganz toll;Mir gefällt es hier sehr gt und ich habe mit niemandem einen Konflikt;
64038390;3D1265A;16.11.2019 09:26;16.11.2019 09:26;teilgenommen und beendet;Mitarbeiter;;1;2;4;3;1;2;5;3;4;4;2;2;7;;Nur das übliche;sehr guter Chef, wir verstehen uns prima
64038391;3D1265B;16.11.2019 09:26;16.11.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;5;4;5;2;5;5;4;2;4;5;4;5;wundervoll, es könnte nicht besser sein;hier ist alles sehr ruhig und friedlich;
64038392;3D1265C;16.11.2019 09:26;16.11.2019 09:26;teilgenommen und beendet;Mitarbeiter;;4;2;5;2;5;4;5;4;2;5;1;2;7;;;Der würde ich am liebsten umbringen
64038393;3D1265D;16.11.2019 09:26;16.11.2019 09:26;teilgenommen und beendet;Mitarbeiter;;5;2;4;5;1;5;4;3;4;4;5;4;7;;Es gibt eig keine Konflikte, alle haben sich hier gegenseitig lieb;Hoffetbnlich verschwindet der kasper bald
