MitarbeiterID;Datum;Uhrzeit;Woche;Pappbecher;Bioprodukt
15;13.12.2019;2:59 PM;50;0;1
9;09.12.2019;5:07 PM;50;0;0
12;11.12.2019;11:06 AM;50;0;0
11;10.12.2019;4:07 PM;50;0;1
20;10.12.2019;10:36 AM;50;1;0
7;13.12.2019;5:01 PM;50;0;1
3;11.12.2019;11:37 AM;50;1;1
20;12.12.2019;8:07 AM;50;0;0
1;11.12.2019;2:56 PM;50;0;0
20;09.12.2019;10:33 AM;50;1;0
19;10.12.2019;4:33 PM;50;1;1
6;12.12.2019;12:16 PM;50;1;1
12;09.12.2019;9:48 AM;50;1;0
15;12.12.2019;12:07 PM;50;0;0
10;11.12.2019;10:42 AM;50;1;1
5;12.12.2019;10:34 AM;50;0;1
15;13.12.2019;7:49 AM;50;1;0
17;10.12.2019;4:43 PM;50;0;0
3;09.12.2019;11:58 AM;50;0;1
11;11.12.2019;12:44 PM;50;1;0
4;12.12.2019;12:31 PM;50;0;1
9;12.12.2019;12:32 PM;50;1;0
2;10.12.2019;12:29 PM;50;1;0
15;12.12.2019;9:12 AM;50;0;0
14;13.12.2019;11:19 AM;50;1;0
10;10.12.2019;10:51 AM;50;1;1
8;09.12.2019;5:03 PM;50;0;1
19;13.12.2019;8:55 AM;50;1;1
7;10.12.2019;3:03 PM;50;0;1
17;13.12.2019;9:08 AM;50;0;0
9;13.12.2019;10:44 AM;50;0;1
8;13.12.2019;11:44 AM;50;1;1
8;09.12.2019;11:11 AM;50;0;0
17;12.12.2019;4:20 PM;50;0;0
12;11.12.2019;8:21 AM;50;1;0
5;09.12.2019;3:27 PM;50;1;0
19;11.12.2019;3:31 PM;50;0;1
9;11.12.2019;1:35 PM;50;1;1
10;11.12.2019;12:40 PM;50;0;1
15;10.12.2019;2:33 PM;50;1;1
8;11.12.2019;12:44 PM;50;0;1
7;10.12.2019;9:45 AM;50;1;0
6;12.12.2019;5:10 PM;50;1;1
17;13.12.2019;4:48 PM;50;0;0
11;12.12.2019;12:16 PM;50;1;0
7;10.12.2019;3:36 PM;50;1;0
4;10.12.2019;3:04 PM;50;1;1
5;10.12.2019;1:06 PM;50;0;0
15;13.12.2019;12:19 PM;50;1;0
17;10.12.2019;11:27 AM;50;0;1
2;09.12.2019;10:40 AM;50;1;1
16;11.12.2019;2:16 PM;50;0;1
13;12.12.2019;2:15 PM;50;1;0
3;13.12.2019;11:43 AM;50;0;0
5;11.12.2019;12:16 PM;50;1;0
2;10.12.2019;3:03 PM;50;1;1
11;12.12.2019;10:07 AM;50;1;1
13;10.12.2019;11:33 AM;50;1;0
8;09.12.2019;1:38 PM;50;1;0
4;11.12.2019;11:34 AM;50;1;0
6;11.12.2019;3:25 PM;50;1;0
5;09.12.2019;9:44 AM;50;0;0
15;10.12.2019;8:08 AM;50;1;0
1;10.12.2019;2:23 PM;50;1;0
14;10.12.2019;10:30 AM;50;1;1
2;10.12.2019;2:31 PM;50;1;0
12;12.12.2019;2:32 PM;50;0;1
16;13.12.2019;1:50 PM;50;1;0
8;10.12.2019;2:59 PM;50;1;1
13;11.12.2019;1:12 PM;50;1;1
18;10.12.2019;2:09 PM;50;0;0
17;12.12.2019;1:13 PM;50;1;0
4;09.12.2019;9:17 AM;50;1;0
6;11.12.2019;3:53 PM;50;1;0
9;12.12.2019;9:42 AM;50;1;1
5;09.12.2019;10:40 AM;50;0;0
9;13.12.2019;10:34 AM;50;0;1
20;10.12.2019;12:13 PM;50;0;1
12;10.12.2019;2:43 PM;50;1;1
11;11.12.2019;1:46 PM;50;0;1
15;10.12.2019;4:19 PM;50;1;1
17;10.12.2019;11:47 AM;50;0;0
3;09.12.2019;12:27 PM;50;0;0
9;09.12.2019;3:59 PM;50;1;1
2;10.12.2019;9:20 AM;50;0;1
1;13.12.2019;4:33 PM;50;1;0
18;13.12.2019;9:33 AM;50;0;0
20;09.12.2019;11:24 AM;50;1;1
17;09.12.2019;3:35 PM;50;0;1
12;12.12.2019;9:30 AM;50;1;1
17;10.12.2019;1:53 PM;50;1;1
11;09.12.2019;9:17 AM;50;0;0
14;09.12.2019;3:03 PM;50;1;0
11;09.12.2019;4:15 PM;50;0;1
9;12.12.2019;10:01 AM;50;1;1
16;11.12.2019;2:13 PM;50;1;1
18;09.12.2019;11:05 AM;50;1;0
17;10.12.2019;4:21 PM;50;0;0
2;12.12.2019;8:34 AM;50;1;0
17;10.12.2019;4:33 PM;50;1;1
17;09.12.2019;8:42 AM;50;0;0
12;12.12.2019;1:59 PM;50;1;0
20;10.12.2019;9:22 AM;50;0;1
12;11.12.2019;3:37 PM;50;0;1
12;11.12.2019;11:35 AM;50;0;1
3;11.12.2019;5:08 PM;50;1;1
18;12.12.2019;8:52 AM;50;1;0
16;11.12.2019;2:37 PM;50;1;0
8;12.12.2019;10:14 AM;50;0;1
2;12.12.2019;9:40 AM;50;0;1
3;12.12.2019;2:49 PM;50;1;1
14;13.12.2019;9:00 AM;50;0;0
8;11.12.2019;4:36 PM;50;0;1
9;12.12.2019;1:00 PM;50;1;1
2;10.12.2019;2:51 PM;50;0;0
6;13.12.2019;12:33 PM;50;1;1
7;11.12.2019;7:52 AM;50;0;1
18;13.12.2019;1:01 PM;50;0;1
6;13.12.2019;4:34 PM;50;1;0
6;12.12.2019;5:04 PM;50;0;1
12;11.12.2019;8:03 AM;50;0;0
20;10.12.2019;2:47 PM;50;0;0
12;13.12.2019;12:43 PM;50;1;1
4;12.12.2019;10:01 AM;50;1;1
17;09.12.2019;3:00 PM;50;0;1
3;09.12.2019;9:31 AM;50;1;1
19;11.12.2019;3:09 PM;50;0;0
18;10.12.2019;9:47 AM;50;1;0
6;13.12.2019;10:03 AM;50;0;1
2;11.12.2019;4:30 PM;50;0;0
3;09.12.2019;8:28 AM;50;0;1
8;10.12.2019;12:45 PM;50;0;0
17;12.12.2019;1:57 PM;50;1;1
16;10.12.2019;9:24 AM;50;0;0
16;09.12.2019;1:17 PM;50;0;0
16;09.12.2019;11:39 AM;50;1;1
16;10.12.2019;12:13 PM;50;0;1
6;10.12.2019;9:01 AM;50;0;1
11;12.12.2019;3:30 PM;50;1;1
13;11.12.2019;5:12 PM;50;0;1
2;12.12.2019;12:30 PM;50;0;1
2;13.12.2019;4:38 PM;50;1;0
8;11.12.2019;2:48 PM;50;0;0
16;12.12.2019;7:59 AM;50;0;0
9;13.12.2019;7:56 AM;50;1;1
19;09.12.2019;11:58 AM;50;0;0
11;10.12.2019;10:56 AM;50;1;1
4;13.12.2019;5:05 PM;50;0;1
19;09.12.2019;10:27 AM;50;0;0
19;09.12.2019;7:49 AM;50;1;1
1;10.12.2019;10:45 AM;50;0;1
16;11.12.2019;9:14 AM;50;0;1
