MitarbeiterID;Datum;Uhrzeit;Woche;Pappbecher;Bioprodukt
6;08.11.2019;7:49 AM;45;1;1
6;07.11.2019;2:23 PM;45;0;1
6;07.11.2019;9:06 AM;45;0;0
13;04.11.2019;4:32 PM;45;1;0
15;07.11.2019;3:53 PM;45;1;1
2;04.11.2019;8:53 AM;45;1;0
3;06.11.2019;1:13 PM;45;0;1
17;08.11.2019;9:10 AM;45;1;1
17;04.11.2019;11:32 AM;45;1;1
14;05.11.2019;12:22 PM;45;1;0
13;04.11.2019;3:40 PM;45;0;1
8;04.11.2019;9:12 AM;45;1;1
5;06.11.2019;10:31 AM;45;0;0
11;05.11.2019;1:08 PM;45;0;1
6;07.11.2019;9:15 AM;45;0;0
6;05.11.2019;3:51 PM;45;0;1
15;05.11.2019;2:01 PM;45;1;1
10;06.11.2019;8:38 AM;45;0;1
4;06.11.2019;1:44 PM;45;0;0
10;05.11.2019;8:44 AM;45;1;1
16;05.11.2019;8:26 AM;45;1;1
2;07.11.2019;11:17 AM;45;1;0
10;08.11.2019;11:06 AM;45;1;1
13;07.11.2019;1:11 PM;45;0;1
1;08.11.2019;4:30 PM;45;1;0
10;04.11.2019;2:12 PM;45;1;0
17;04.11.2019;9:31 AM;45;1;1
17;08.11.2019;4:39 PM;45;1;0
3;08.11.2019;5:03 PM;45;0;0
20;04.11.2019;3:53 PM;45;1;1
16;07.11.2019;2:14 PM;45;0;1
12;07.11.2019;8:19 AM;45;0;1
2;04.11.2019;12:14 PM;45;1;0
14;07.11.2019;1:37 PM;45;1;0
2;06.11.2019;8:57 AM;45;1;0
1;05.11.2019;12:02 PM;45;0;0
12;07.11.2019;12:02 PM;45;0;1
17;05.11.2019;2:50 PM;45;0;0
3;06.11.2019;11:17 AM;45;0;0
9;06.11.2019;3:44 PM;45;1;0
10;07.11.2019;8:18 AM;45;1;1
16;05.11.2019;2:38 PM;45;1;0
1;06.11.2019;1:28 PM;45;1;0
2;07.11.2019;1:44 PM;45;1;1
15;07.11.2019;1:11 PM;45;1;0
10;04.11.2019;4:36 PM;45;0;1
2;08.11.2019;11:24 AM;45;1;1
17;05.11.2019;5:11 PM;45;0;1
13;08.11.2019;2:49 PM;45;0;1
13;06.11.2019;10:56 AM;45;1;1
17;06.11.2019;4:13 PM;45;1;0
18;05.11.2019;10:29 AM;45;1;1
16;07.11.2019;7:31 AM;45;0;1
7;06.11.2019;1:06 PM;45;1;0
17;08.11.2019;12:52 PM;45;0;1
4;07.11.2019;12:15 PM;45;0;1
14;06.11.2019;4:03 PM;45;1;1
13;05.11.2019;5:07 PM;45;1;1
10;05.11.2019;2:16 PM;45;0;1
11;05.11.2019;4:27 PM;45;1;0
17;05.11.2019;1:52 PM;45;0;0
20;05.11.2019;4:45 PM;45;1;1
1;08.11.2019;8:29 AM;45;1;0
2;06.11.2019;11:48 AM;45;1;1
5;06.11.2019;8:25 AM;45;0;0
20;04.11.2019;10:47 AM;45;1;1
4;07.11.2019;10:12 AM;45;0;1
14;05.11.2019;4:51 PM;45;1;1
17;04.11.2019;3:02 PM;45;0;1
6;06.11.2019;10:21 AM;45;1;0
19;04.11.2019;5:02 PM;45;1;1
16;04.11.2019;10:13 AM;45;1;1
5;08.11.2019;12:39 PM;45;0;1
4;05.11.2019;1:44 PM;45;0;0
1;04.11.2019;8:24 AM;45;1;0
19;04.11.2019;2:12 PM;45;0;0
18;04.11.2019;1:20 PM;45;1;1
17;07.11.2019;2:24 PM;45;0;0
18;04.11.2019;11:00 AM;45;1;1
14;06.11.2019;11:43 AM;45;0;0
17;05.11.2019;9:48 AM;45;0;0
12;05.11.2019;2:43 PM;45;1;1
14;05.11.2019;12:24 PM;45;0;0
9;05.11.2019;11:16 AM;45;0;1
16;06.11.2019;10:35 AM;45;0;1
19;05.11.2019;11:24 AM;45;0;0
15;05.11.2019;10:51 AM;45;0;0
20;06.11.2019;1:47 PM;45;1;1
3;04.11.2019;9:15 AM;45;1;1
11;04.11.2019;4:40 PM;45;1;1
17;05.11.2019;12:43 PM;45;1;0
3;08.11.2019;12:10 PM;45;0;1
4;05.11.2019;2:28 PM;45;0;1
13;08.11.2019;12:23 PM;45;1;0
