MitarbeiterID;Datum;Uhrzeit;Woche;Pappbecher;Bioprodukt
19;06.12.2019;2:01 PM;49;0;1
5;06.12.2019;12:23 PM;49;0;1
15;04.12.2019;9:18 AM;49;1;1
15;05.12.2019;11:33 AM;49;0;0
8;05.12.2019;3:01 PM;49;0;1
20;04.12.2019;9:51 AM;49;1;0
20;05.12.2019;10:05 AM;49;0;0
15;02.12.2019;3:06 PM;49;0;1
4;04.12.2019;8:29 AM;49;1;1
8;04.12.2019;12:47 PM;49;0;0
18;02.12.2019;3:46 PM;49;1;1
3;03.12.2019;3:18 PM;49;0;0
8;04.12.2019;10:37 AM;49;0;1
1;05.12.2019;1:29 PM;49;0;1
11;06.12.2019;5:07 PM;49;0;1
20;03.12.2019;10:36 AM;49;0;1
13;06.12.2019;12:53 PM;49;1;0
9;06.12.2019;8:14 AM;49;0;1
6;04.12.2019;12:34 PM;49;0;0
18;06.12.2019;9:32 AM;49;0;0
11;05.12.2019;2:19 PM;49;0;1
17;06.12.2019;7:52 AM;49;1;0
4;05.12.2019;11:00 AM;49;0;0
1;06.12.2019;4:47 PM;49;1;1
6;06.12.2019;12:24 PM;49;1;1
13;02.12.2019;3:40 PM;49;0;0
12;04.12.2019;7:54 AM;49;1;0
20;02.12.2019;3:20 PM;49;1;0
20;02.12.2019;4:40 PM;49;1;1
9;04.12.2019;1:43 PM;49;0;1
5;02.12.2019;9:58 AM;49;1;1
15;05.12.2019;10:14 AM;49;0;0
20;03.12.2019;10:00 AM;49;1;1
4;05.12.2019;10:27 AM;49;0;0
20;05.12.2019;9:21 AM;49;0;0
18;06.12.2019;4:23 PM;49;0;1
4;04.12.2019;11:46 AM;49;0;1
14;05.12.2019;9:31 AM;49;1;0
17;05.12.2019;12:20 PM;49;0;1
12;06.12.2019;9:09 AM;49;1;0
12;05.12.2019;11:54 AM;49;0;1
6;03.12.2019;8:01 AM;49;0;0
5;05.12.2019;12:44 PM;49;1;0
9;03.12.2019;1:27 PM;49;0;0
6;02.12.2019;12:28 PM;49;1;1
6;02.12.2019;11:25 AM;49;1;0
20;04.12.2019;3:17 PM;49;0;0
7;04.12.2019;9:09 AM;49;0;1
4;05.12.2019;1:43 PM;49;0;1
6;03.12.2019;3:00 PM;49;0;0
6;02.12.2019;3:14 PM;49;1;1
19;05.12.2019;4:10 PM;49;1;1
2;05.12.2019;4:51 PM;49;1;0
7;06.12.2019;9:16 AM;49;0;0
10;05.12.2019;10:10 AM;49;0;0
17;05.12.2019;2:22 PM;49;0;0
11;02.12.2019;4:12 PM;49;0;1
17;02.12.2019;9:22 AM;49;1;0
16;03.12.2019;4:41 PM;49;0;1
13;04.12.2019;2:27 PM;49;0;1
10;05.12.2019;9:45 AM;49;1;1
20;02.12.2019;2:31 PM;49;1;1
18;06.12.2019;12:15 PM;49;1;1
6;03.12.2019;8:23 AM;49;0;1
15;04.12.2019;10:52 AM;49;0;0
14;02.12.2019;9:40 AM;49;0;0
12;04.12.2019;11:34 AM;49;0;1
1;06.12.2019;7:56 AM;49;0;0
5;03.12.2019;8:43 AM;49;0;1
13;04.12.2019;1:46 PM;49;1;0
6;02.12.2019;4:51 PM;49;1;0
12;06.12.2019;10:28 AM;49;1;0
20;04.12.2019;2:55 PM;49;1;0
1;06.12.2019;4:08 PM;49;0;1
9;03.12.2019;12:15 PM;49;0;1
11;02.12.2019;1:30 PM;49;0;0
3;06.12.2019;1:56 PM;49;1;0
20;05.12.2019;3:54 PM;49;1;1
2;03.12.2019;12:07 PM;49;0;0
10;06.12.2019;12:45 PM;49;1;1
4;02.12.2019;11:53 AM;49;0;0
8;06.12.2019;3:20 PM;49;0;1
12;03.12.2019;10:47 AM;49;0;1
16;04.12.2019;2:14 PM;49;1;0
7;03.12.2019;12:34 PM;49;1;1
11;03.12.2019;4:42 PM;49;1;1
2;04.12.2019;8:41 AM;49;0;0
3;02.12.2019;9:42 AM;49;1;0
18;03.12.2019;12:18 PM;49;0;1
20;02.12.2019;4:08 PM;49;0;0
11;04.12.2019;11:52 AM;49;1;0
14;05.12.2019;5:01 PM;49;1;1
8;05.12.2019;7:31 AM;49;0;1
11;05.12.2019;7:46 AM;49;1;1
13;05.12.2019;1:07 PM;49;1;0
7;04.12.2019;12:46 PM;49;0;1
13;05.12.2019;12:44 PM;49;1;0
17;03.12.2019;9:46 AM;49;0;1
16;03.12.2019;1:44 PM;49;1;1
13;04.12.2019;11:02 AM;49;1;0
19;06.12.2019;2:50 PM;49;0;1
18;06.12.2019;2:48 PM;49;1;1
18;06.12.2019;9:40 AM;49;0;0
7;04.12.2019;12:30 PM;49;0;1
9;06.12.2019;8:06 AM;49;0;1
3;02.12.2019;10:01 AM;49;0;1
12;05.12.2019;11:24 AM;49;0;0
6;04.12.2019;10:18 AM;49;1;1
6;06.12.2019;9:38 AM;49;1;0
1;04.12.2019;9:51 AM;49;0;1
3;02.12.2019;12:40 PM;49;1;0
6;05.12.2019;4:30 PM;49;1;1
15;06.12.2019;2:58 PM;49;1;1
3;05.12.2019;2:30 PM;49;1;0
14;04.12.2019;4:20 PM;49;0;0
3;05.12.2019;5:14 PM;49;0;0
8;04.12.2019;4:56 PM;49;1;1
3;04.12.2019;8:29 AM;49;1;1
