MitarbeiterID;_Antwort-ID;Resume-Code;Start;Datum und Zeit;Teilnahmestatus;5. Bitte beantworten Sie jede der nachfolgenden Fragen;Meine Arbeit ist für mich nur noch Routine, ich habe keinen persönlichen Bezug dazu.;Es fällt mir immer schwerer, mich bei der Arbeit auf andere Menschen einzustellen.;Ich kann anderen Menschen bei meiner Arbeit immer weniger Wertschätzung entgegen bringen.;Meine Kunden/Kollegen sind mir zunehmend gleichgültig.;Ich bemerke, dass ich in meinem Arbeitsalltag immer zynischer werde.;Ich lasse nichts mehr an mich herankommen.;Ich fühle mich häufig müde oder ausgelaugt.;Es fällt mir schwer, mich zu meiner Arbeit aufzuraffen.;Ich bin oft gereizt.;Ich fühle mich häufig körperlich geschwächt.;Meine Arbeit macht mir keine Freude mehr;Ich fühle mich häufig emotional erschöpft.;Ich erhalte kaum positive Rückmeldungen über meine Arbeitsleistung.;Ich zweifle häufig daran, dass meine Arbeit sinnvoll ist.;Die Anforderungen an mich sind in den letzten Jahren immer höher geworden;Ich habe das Gefühl, dass ich immer mehr mache und trotzdem immer weniger bewältige.;Egal, wie sehr ich mich bemühe, ich erreiche nichts.;Ich glaube, dass alle meine Anstrengungen letztlich wirkungslos bleibe;6. Auf einer Skala von 1 (sehr schlecht) bis 10 (sehr gut) würde ich meine Stimmung seit der letzten Umfrage wie folgt bewerten:
1;64039295;3D129E3;12.08.2019 12:37;12.08.2019 12:43;teilgenommen und beendet;;0;2;3;3;3;2;4;1;5;3;1;0;0;0;2;3;1;5;4
2;64039296;3D129E4;12.08.2019 12:37;12.08.2019 12:43;teilgenommen und beendet;;3;4;4;5;4;5;1;1;4;1;0;0;1;0;4;0;2;1;5
3;64039297;3D129E5;12.08.2019 12:37;12.08.2019 12:43;teilgenommen und beendet;;3;0;2;4;5;1;3;0;3;4;0;4;2;1;1;2;3;3;2
4;64039298;3D129E6;12.08.2019 12:37;12.08.2019 12:43;teilgenommen und beendet;;2;3;4;0;4;5;4;3;5;4;5;5;3;5;5;4;1;5;5
5;64039299;3D129E7;12.08.2019 12:37;12.08.2019 12:43;teilgenommen und beendet;;5;1;3;3;0;4;1;1;2;5;5;3;3;2;4;1;4;4;4
6;64039300;3D129E8;12.08.2019 12:37;12.08.2019 12:43;teilgenommen und beendet;;5;0;4;0;1;1;1;4;2;4;2;2;0;1;3;4;3;5;4
7;64039301;3D129E9;12.08.2019 12:37;12.08.2019 12:43;teilgenommen und beendet;;3;1;2;2;1;3;0;1;1;0;3;3;3;3;3;3;3;4;7
8;64039302;3D129EA;12.08.2019 12:37;12.08.2019 12:43;teilgenommen und beendet;;1;5;4;3;1;3;1;4;5;0;0;3;0;2;2;5;1;4;6
9;64039303;3D129EB;12.08.2019 12:37;12.08.2019 12:43;teilgenommen und beendet;;3;4;3;1;5;5;5;4;5;3;1;1;2;3;4;4;1;1;2
10;64039304;3D129EC;12.08.2019 12:37;12.08.2019 12:43;teilgenommen und beendet;;3;4;2;3;2;1;2;1;1;4;0;3;4;2;1;4;5;4;5
11;64039305;3D129ED;12.08.2019 12:37;12.08.2019 12:43;teilgenommen und beendet;;5;1;3;3;4;2;0;1;2;1;3;1;4;5;4;1;3;0;3
12;64039306;3D129EE;12.08.2019 12:37;12.08.2019 12:43;teilgenommen und beendet;;3;1;5;4;0;0;4;1;5;3;4;4;4;3;2;5;3;2;8
13;64039307;3D129EF;12.08.2019 12:37;12.08.2019 12:43;teilgenommen und beendet;;4;0;4;2;4;4;5;1;3;1;2;2;5;4;0;1;1;3;4
14;64039308;3D129F0;12.08.2019 12:37;12.08.2019 12:43;teilgenommen und beendet;;1;4;1;4;3;5;4;0;1;3;2;3;4;1;5;4;2;1;4
15;64039309;3D129F1;12.08.2019 12:37;12.08.2019 12:43;teilgenommen und beendet;;3;4;0;5;5;4;5;2;4;0;0;4;5;2;5;4;0;0;3
16;64039310;3D129F2;12.08.2019 12:37;12.08.2019 12:43;teilgenommen und beendet;;2;5;2;1;0;4;5;0;2;4;0;1;2;3;1;2;4;1;6
17;64039311;3D129F3;12.08.2019 12:37;12.08.2019 12:43;teilgenommen und beendet;;2;2;0;1;5;0;3;1;3;2;5;1;5;1;2;3;1;1;10
18;64039312;3D129F4;12.08.2019 12:37;12.08.2019 12:43;teilgenommen und beendet;;5;4;5;0;0;5;4;4;5;2;2;5;5;2;3;1;0;5;6
19;64039313;3D129F5;12.08.2019 12:37;12.08.2019 12:43;teilgenommen und beendet;;3;5;2;0;2;1;5;2;1;3;2;0;0;1;0;4;2;4;4
20;64039314;3D129F6;12.08.2019 12:37;12.08.2019 12:43;teilgenommen und beendet;;0;4;0;1;0;1;4;0;1;3;1;0;0;2;2;1;2;0;5
