MitarbeiterID;_Antwort-ID;Resume-Code;Start;Datum und Zeit;Teilnahmestatus;5. Bitte beantworten Sie jede der nachfolgenden Fragen;Meine Arbeit ist für mich nur noch Routine, ich habe keinen persönlichen Bezug dazu.;Es fällt mir immer schwerer, mich bei der Arbeit auf andere Menschen einzustellen.;Ich kann anderen Menschen bei meiner Arbeit immer weniger Wertschätzung entgegen bringen.;Meine Kunden/Kollegen sind mir zunehmend gleichgültig.;Ich bemerke, dass ich in meinem Arbeitsalltag immer zynischer werde.;Ich lasse nichts mehr an mich herankommen.;Ich fühle mich häufig müde oder ausgelaugt.;Es fällt mir schwer, mich zu meiner Arbeit aufzuraffen.;Ich bin oft gereizt.;Ich fühle mich häufig körperlich geschwächt.;Meine Arbeit macht mir keine Freude mehr;Ich fühle mich häufig emotional erschöpft.;Ich erhalte kaum positive Rückmeldungen über meine Arbeitsleistung.;Ich zweifle häufig daran, dass meine Arbeit sinnvoll ist.;Die Anforderungen an mich sind in den letzten Jahren immer höher geworden;Ich habe das Gefühl, dass ich immer mehr mache und trotzdem immer weniger bewältige.;Egal, wie sehr ich mich bemühe, ich erreiche nichts.;Ich glaube, dass alle meine Anstrengungen letztlich wirkungslos bleibe;6. Auf einer Skala von 1 (sehr schlecht) bis 10 (sehr gut) würde ich meine Stimmung seit der letzten Umfrage wie folgt bewerten:
1;64039335;3D12A0B;14.10.2019 13:17;14.10.2019 13:23;teilgenommen und beendet;;5;2;0;5;4;0;1;2;5;2;5;2;1;1;3;4;4;0;3
2;64039336;3D12A0C;14.10.2019 13:17;14.10.2019 13:23;teilgenommen und beendet;;5;2;2;4;1;5;3;0;0;4;3;2;1;1;3;3;3;4;2
3;64039337;3D12A0D;14.10.2019 13:17;14.10.2019 13:23;teilgenommen und beendet;;2;2;3;3;2;0;0;5;4;1;2;4;0;2;4;2;0;2;5
4;64039338;3D12A0E;14.10.2019 13:17;14.10.2019 13:23;teilgenommen und beendet;;0;5;5;5;4;5;1;0;5;5;0;5;0;5;2;0;5;3;1
5;64039339;3D12A0F;14.10.2019 13:17;14.10.2019 13:23;teilgenommen und beendet;;0;4;0;4;5;3;1;0;4;2;0;5;0;3;5;2;5;5;8
6;64039340;3D12A10;14.10.2019 13:17;14.10.2019 13:23;teilgenommen und beendet;;2;3;5;5;3;0;0;2;5;1;4;1;1;1;1;2;4;1;8
7;64039341;3D12A11;14.10.2019 13:17;14.10.2019 13:23;teilgenommen und beendet;;2;2;1;4;1;0;2;1;1;5;5;2;4;2;1;1;1;1;2
8;64039342;3D12A12;14.10.2019 13:17;14.10.2019 13:23;teilgenommen und beendet;;4;2;0;3;5;2;2;0;5;3;2;5;3;3;0;4;1;4;4
9;64039343;3D12A13;14.10.2019 13:17;14.10.2019 13:23;teilgenommen und beendet;;1;4;3;1;0;5;3;5;3;2;5;0;5;3;5;5;3;0;10
10;64039344;3D12A14;14.10.2019 13:17;14.10.2019 13:23;teilgenommen und beendet;;0;5;1;0;3;4;1;5;5;0;3;4;5;0;5;1;5;1;3
11;64039345;3D12A15;14.10.2019 13:17;14.10.2019 13:23;teilgenommen und beendet;;3;3;5;1;3;3;1;2;3;1;5;4;0;5;0;2;4;0;7
12;64039346;3D12A16;14.10.2019 13:17;14.10.2019 13:23;teilgenommen und beendet;;4;2;1;0;5;2;1;1;4;1;5;4;5;3;1;0;1;4;5
13;64039347;3D12A17;14.10.2019 13:17;14.10.2019 13:23;teilgenommen und beendet;;4;0;5;3;4;0;3;4;0;2;2;4;5;0;1;5;4;3;4
14;64039348;3D12A18;14.10.2019 13:17;14.10.2019 13:23;teilgenommen und beendet;;2;1;4;1;0;2;3;5;3;1;4;3;5;4;0;3;5;1;4
15;64039349;3D12A19;14.10.2019 13:17;14.10.2019 13:23;teilgenommen und beendet;;0;2;4;3;2;5;1;4;1;4;2;1;3;4;1;4;5;1;3
16;64039350;3D12A1A;14.10.2019 13:17;14.10.2019 13:23;teilgenommen und beendet;;5;4;3;0;0;2;4;4;5;1;0;1;5;1;3;4;3;4;6
17;64039351;3D12A1B;14.10.2019 13:17;14.10.2019 13:23;teilgenommen und beendet;;1;0;3;0;3;3;0;1;5;1;3;0;4;4;1;2;4;0;1
18;64039352;3D12A1C;14.10.2019 13:17;14.10.2019 13:23;teilgenommen und beendet;;4;1;0;1;4;5;1;0;3;4;3;2;5;2;1;3;4;5;2
19;64039353;3D12A1D;14.10.2019 13:17;14.10.2019 13:23;teilgenommen und beendet;;3;2;3;2;4;3;1;5;5;3;4;3;0;4;1;4;2;3;2
20;64039354;3D12A1E;14.10.2019 13:17;14.10.2019 13:23;teilgenommen und beendet;;4;4;0;5;5;0;2;1;5;4;2;0;2;4;4;3;1;1;3
