MitarbeiterID;_Antwort-ID;Resume-Code;Start;Datum und Zeit;Teilnahmestatus;5. Bitte beantworten Sie jede der nachfolgenden Fragen;Meine Arbeit ist für mich nur noch Routine, ich habe keinen persönlichen Bezug dazu.;Es fällt mir immer schwerer, mich bei der Arbeit auf andere Menschen einzustellen.;Ich kann anderen Menschen bei meiner Arbeit immer weniger Wertschätzung entgegen bringen.;Meine Kunden/Kollegen sind mir zunehmend gleichgültig.;Ich bemerke, dass ich in meinem Arbeitsalltag immer zynischer werde.;Ich lasse nichts mehr an mich herankommen.;Ich fühle mich häufig müde oder ausgelaugt.;Es fällt mir schwer, mich zu meiner Arbeit aufzuraffen.;Ich bin oft gereizt.;Ich fühle mich häufig körperlich geschwächt.;Meine Arbeit macht mir keine Freude mehr;Ich fühle mich häufig emotional erschöpft.;Ich erhalte kaum positive Rückmeldungen über meine Arbeitsleistung.;Ich zweifle häufig daran, dass meine Arbeit sinnvoll ist.;Die Anforderungen an mich sind in den letzten Jahren immer höher geworden;Ich habe das Gefühl, dass ich immer mehr mache und trotzdem immer weniger bewältige.;Egal, wie sehr ich mich bemühe, ich erreiche nichts.;Ich glaube, dass alle meine Anstrengungen letztlich wirkungslos bleibe;6. Auf einer Skala von 1 (sehr schlecht) bis 10 (sehr gut) würde ich meine Stimmung seit der letzten Umfrage wie folgt bewerten:
1;64039255;3D129BB;18.06.2019 13:32;18.06.2019 13:38;teilgenommen und beendet;;1;3;1;3;0;1;0;0;5;5;5;3;0;4;2;1;0;2;4
2;64039256;3D129BC;18.06.2019 13:32;18.06.2019 13:38;teilgenommen und beendet;;1;5;3;0;0;2;3;4;5;4;3;3;2;4;4;5;2;0;7
3;64039257;3D129BD;18.06.2019 13:32;18.06.2019 13:38;teilgenommen und beendet;;2;1;4;4;4;0;5;5;0;1;1;3;4;3;3;0;5;5;5
4;64039258;3D129BE;18.06.2019 13:32;18.06.2019 13:38;teilgenommen und beendet;;4;3;3;5;3;1;3;2;1;3;1;5;0;4;2;0;5;2;9
5;64039259;3D129BF;18.06.2019 13:32;18.06.2019 13:38;teilgenommen und beendet;;4;0;3;2;2;1;3;0;2;1;0;4;2;2;5;2;5;3;2
6;64039260;3D129C0;18.06.2019 13:32;18.06.2019 13:38;teilgenommen und beendet;;3;2;4;3;1;0;3;4;4;0;0;0;0;1;0;0;3;0;6
7;64039261;3D129C1;18.06.2019 13:32;18.06.2019 13:38;teilgenommen und beendet;;2;0;3;2;4;2;3;3;2;3;5;0;1;1;1;5;4;4;1
8;64039262;3D129C2;18.06.2019 13:32;18.06.2019 13:38;teilgenommen und beendet;;2;0;0;5;2;0;1;1;4;0;5;4;1;4;4;1;2;5;6
9;64039263;3D129C3;18.06.2019 13:32;18.06.2019 13:38;teilgenommen und beendet;;5;4;2;4;2;4;1;3;4;0;4;1;1;1;2;3;4;5;2
10;64039264;3D129C4;18.06.2019 13:32;18.06.2019 13:38;teilgenommen und beendet;;0;5;1;3;3;0;2;3;2;5;1;1;5;4;5;3;5;5;4
11;64039265;3D129C5;18.06.2019 13:32;18.06.2019 13:38;teilgenommen und beendet;;3;5;3;4;3;3;2;3;0;2;5;1;5;1;3;1;5;1;8
12;64039266;3D129C6;18.06.2019 13:32;18.06.2019 13:38;teilgenommen und beendet;;4;1;0;3;3;1;5;2;3;0;1;3;5;1;3;5;2;3;4
13;64039267;3D129C7;18.06.2019 13:32;18.06.2019 13:38;teilgenommen und beendet;;3;0;5;4;2;5;0;4;2;1;5;3;1;1;2;5;0;0;7
14;64039268;3D129C8;18.06.2019 13:32;18.06.2019 13:38;teilgenommen und beendet;;4;0;5;3;4;2;1;2;5;2;1;3;2;1;0;1;1;3;3
15;64039269;3D129C9;18.06.2019 13:32;18.06.2019 13:38;teilgenommen und beendet;;5;1;2;3;2;1;2;0;5;0;5;1;5;5;1;3;4;4;2
16;64039270;3D129CA;18.06.2019 13:32;18.06.2019 13:38;teilgenommen und beendet;;2;5;2;0;1;3;5;2;1;4;5;2;3;5;5;0;0;1;4
17;64039271;3D129CB;18.06.2019 13:32;18.06.2019 13:38;teilgenommen und beendet;;3;3;5;0;2;0;0;2;2;4;4;4;0;4;3;4;1;5;8
18;64039272;3D129CC;18.06.2019 13:32;18.06.2019 13:38;teilgenommen und beendet;;2;2;4;2;0;0;2;4;5;5;4;1;3;3;4;3;5;4;5
19;64039273;3D129CD;18.06.2019 13:32;18.06.2019 13:38;teilgenommen und beendet;;3;2;1;2;4;3;0;1;0;2;2;1;2;3;3;2;0;1;4
20;64039274;3D129CE;18.06.2019 13:32;18.06.2019 13:38;teilgenommen und beendet;;1;5;5;1;0;5;1;3;0;1;5;5;4;0;5;3;0;5;10
