MitarbeiterID;_Antwort-ID;Resume-Code;Start;Datum und Zeit;Teilnahmestatus;5. Bitte beantworten Sie jede der nachfolgenden Fragen;Meine Arbeit ist für mich nur noch Routine, ich habe keinen persönlichen Bezug dazu.;Es fällt mir immer schwerer, mich bei der Arbeit auf andere Menschen einzustellen.;Ich kann anderen Menschen bei meiner Arbeit immer weniger Wertschätzung entgegen bringen.;Meine Kunden/Kollegen sind mir zunehmend gleichgültig.;Ich bemerke, dass ich in meinem Arbeitsalltag immer zynischer werde.;Ich lasse nichts mehr an mich herankommen.;Ich fühle mich häufig müde oder ausgelaugt.;Es fällt mir schwer, mich zu meiner Arbeit aufzuraffen.;Ich bin oft gereizt.;Ich fühle mich häufig körperlich geschwächt.;Meine Arbeit macht mir keine Freude mehr;Ich fühle mich häufig emotional erschöpft.;Ich erhalte kaum positive Rückmeldungen über meine Arbeitsleistung.;Ich zweifle häufig daran, dass meine Arbeit sinnvoll ist.;Die Anforderungen an mich sind in den letzten Jahren immer höher geworden;Ich habe das Gefühl, dass ich immer mehr mache und trotzdem immer weniger bewältige.;Egal, wie sehr ich mich bemühe, ich erreiche nichts.;Ich glaube, dass alle meine Anstrengungen letztlich wirkungslos bleibe;6. Auf einer Skala von 1 (sehr schlecht) bis 10 (sehr gut) würde ich meine Stimmung seit der letzten Umfrage wie folgt bewerten:
1;64039355;3D12A1F;15.11.2019 11:22;15.11.2019 11:28;teilgenommen und beendet;;5;4;5;3;2;3;3;2;4;4;2;1;0;5;4;5;3;0;4
2;64039356;3D12A20;15.11.2019 11:22;15.11.2019 11:28;teilgenommen und beendet;;5;5;5;2;4;0;2;1;2;5;0;4;4;4;2;2;3;3;4
3;64039357;3D12A21;15.11.2019 11:22;15.11.2019 11:28;teilgenommen und beendet;;3;1;4;2;1;2;0;5;1;4;0;3;4;5;2;5;0;0;4
4;64039358;3D12A22;15.11.2019 11:22;15.11.2019 11:28;teilgenommen und beendet;;2;0;3;4;1;0;4;4;0;4;0;3;5;5;2;3;3;4;7
5;64039359;3D12A23;15.11.2019 11:22;15.11.2019 11:28;teilgenommen und beendet;;5;4;5;3;4;3;3;2;5;1;2;0;1;1;5;5;4;5;2
6;64039360;3D12A24;15.11.2019 11:22;15.11.2019 11:28;teilgenommen und beendet;;1;1;5;4;3;5;2;5;5;2;3;2;0;5;4;3;1;1;10
7;64039361;3D12A25;15.11.2019 11:22;15.11.2019 11:28;teilgenommen und beendet;;2;5;4;0;1;4;4;2;2;0;1;3;1;2;4;1;0;2;4
8;64039362;3D12A26;15.11.2019 11:22;15.11.2019 11:28;teilgenommen und beendet;;1;3;0;3;4;4;3;1;2;1;4;1;1;2;5;1;2;1;7
9;64039363;3D12A27;15.11.2019 11:22;15.11.2019 11:28;teilgenommen und beendet;;4;4;5;5;5;0;5;2;2;2;5;3;1;5;0;3;0;2;3
10;64039364;3D12A28;15.11.2019 11:22;15.11.2019 11:28;teilgenommen und beendet;;1;5;2;1;2;2;4;0;2;3;4;0;1;2;4;2;2;2;1
11;64039365;3D12A29;15.11.2019 11:22;15.11.2019 11:28;teilgenommen und beendet;;2;4;0;2;1;4;0;3;5;4;2;2;2;5;0;4;1;2;9
12;64039366;3D12A2A;15.11.2019 11:22;15.11.2019 11:28;teilgenommen und beendet;;2;0;1;2;5;5;0;4;0;3;5;4;3;2;3;3;3;5;7
13;64039367;3D12A2B;15.11.2019 11:22;15.11.2019 11:28;teilgenommen und beendet;;1;5;2;4;1;5;3;0;0;5;1;0;3;5;5;4;2;5;8
14;64039368;3D12A2C;15.11.2019 11:22;15.11.2019 11:28;teilgenommen und beendet;;2;5;5;3;2;3;0;5;2;1;2;2;1;0;4;1;4;1;1
15;64039369;3D12A2D;15.11.2019 11:22;15.11.2019 11:28;teilgenommen und beendet;;5;0;2;2;2;2;0;5;3;4;4;1;2;4;2;1;5;3;8
16;64039370;3D12A2E;15.11.2019 11:22;15.11.2019 11:28;teilgenommen und beendet;;0;5;0;2;5;1;1;2;0;1;2;4;5;1;3;3;4;2;1
17;64039371;3D12A2F;15.11.2019 11:22;15.11.2019 11:28;teilgenommen und beendet;;4;5;4;4;0;1;3;4;0;3;1;5;0;1;0;2;3;1;3
18;64039372;3D12A30;15.11.2019 11:22;15.11.2019 11:28;teilgenommen und beendet;;5;4;0;3;1;1;3;0;1;5;3;5;1;1;5;4;5;5;8
19;64039373;3D12A31;15.11.2019 11:22;15.11.2019 11:28;teilgenommen und beendet;;5;4;4;4;3;1;5;0;3;1;0;0;4;0;1;5;0;4;1
20;64039374;3D12A32;15.11.2019 11:22;15.11.2019 11:28;teilgenommen und beendet;;1;4;2;1;2;5;0;2;4;2;0;2;0;3;3;4;3;5;7
