MitarbeiterID;_Antwort-ID;Resume-Code;Start;Datum und Zeit;Teilnahmestatus;5. Bitte beantworten Sie jede der nachfolgenden Fragen;Meine Arbeit ist für mich nur noch Routine, ich habe keinen persönlichen Bezug dazu.;Es fällt mir immer schwerer, mich bei der Arbeit auf andere Menschen einzustellen.;Ich kann anderen Menschen bei meiner Arbeit immer weniger Wertschätzung entgegen bringen.;Meine Kunden/Kollegen sind mir zunehmend gleichgültig.;Ich bemerke, dass ich in meinem Arbeitsalltag immer zynischer werde.;Ich lasse nichts mehr an mich herankommen.;Ich fühle mich häufig müde oder ausgelaugt.;Es fällt mir schwer, mich zu meiner Arbeit aufzuraffen.;Ich bin oft gereizt.;Ich fühle mich häufig körperlich geschwächt.;Meine Arbeit macht mir keine Freude mehr;Ich fühle mich häufig emotional erschöpft.;Ich erhalte kaum positive Rückmeldungen über meine Arbeitsleistung.;Ich zweifle häufig daran, dass meine Arbeit sinnvoll ist.;Die Anforderungen an mich sind in den letzten Jahren immer höher geworden;Ich habe das Gefühl, dass ich immer mehr mache und trotzdem immer weniger bewältige.;Egal, wie sehr ich mich bemühe, ich erreiche nichts.;Ich glaube, dass alle meine Anstrengungen letztlich wirkungslos bleibe;6. Auf einer Skala von 1 (sehr schlecht) bis 10 (sehr gut) würde ich meine Stimmung seit der letzten Umfrage wie folgt bewerten:
1;64039375;3D12A33;14.12.2019 08:35;14.12.2019 08:41;teilgenommen und beendet;;4;5;3;3;4;5;4;1;5;4;2;4;4;2;3;5;0;3;7
2;64039376;3D12A34;14.12.2019 08:35;14.12.2019 08:41;teilgenommen und beendet;;4;5;4;3;1;4;5;1;5;1;4;2;2;1;5;5;0;0;4
3;64039377;3D12A35;14.12.2019 08:35;14.12.2019 08:41;teilgenommen und beendet;;3;0;1;1;0;5;3;0;3;5;1;4;0;1;4;2;0;3;1
4;64039378;3D12A36;14.12.2019 08:35;14.12.2019 08:41;teilgenommen und beendet;;4;0;5;0;3;2;3;5;5;1;3;5;2;4;2;4;3;1;3
5;64039379;3D12A37;14.12.2019 08:35;14.12.2019 08:41;teilgenommen und beendet;;1;1;0;5;4;5;5;3;0;2;2;5;3;3;0;4;4;4;1
6;64039380;3D12A38;14.12.2019 08:35;14.12.2019 08:41;teilgenommen und beendet;;1;0;5;3;1;3;5;0;5;4;0;4;5;1;3;5;4;5;3
7;64039381;3D12A39;14.12.2019 08:35;14.12.2019 08:41;teilgenommen und beendet;;0;1;4;4;2;1;2;1;3;3;5;4;5;5;5;4;3;4;8
8;64039382;3D12A3A;14.12.2019 08:35;14.12.2019 08:41;teilgenommen und beendet;;3;0;4;4;0;5;0;5;0;3;5;1;5;5;2;4;2;4;1
9;64039383;3D12A3B;14.12.2019 08:35;14.12.2019 08:41;teilgenommen und beendet;;1;4;3;1;3;4;1;0;4;0;3;3;5;4;3;5;2;0;9
10;64039384;3D12A3C;14.12.2019 08:35;14.12.2019 08:41;teilgenommen und beendet;;0;5;4;4;0;3;0;4;4;4;3;2;4;1;2;1;2;0;4
11;64039385;3D12A3D;14.12.2019 08:35;14.12.2019 08:41;teilgenommen und beendet;;1;5;3;3;1;5;3;2;3;4;3;2;1;5;2;5;0;1;8
12;64039386;3D12A3E;14.12.2019 08:35;14.12.2019 08:41;teilgenommen und beendet;;0;2;4;5;4;0;0;5;4;2;5;3;5;5;3;0;4;1;8
13;64039387;3D12A3F;14.12.2019 08:35;14.12.2019 08:41;teilgenommen und beendet;;2;2;0;3;5;5;2;4;5;2;4;0;5;2;0;2;4;1;10
14;64039388;3D12A40;14.12.2019 08:35;14.12.2019 08:41;teilgenommen und beendet;;2;1;0;4;1;1;4;2;4;3;4;1;1;2;1;3;3;4;3
15;64039389;3D12A41;14.12.2019 08:35;14.12.2019 08:41;teilgenommen und beendet;;1;2;3;1;0;1;0;0;2;4;1;4;1;1;3;3;4;1;3
16;64039390;3D12A42;14.12.2019 08:35;14.12.2019 08:41;teilgenommen und beendet;;2;2;1;2;1;0;4;4;1;5;1;1;5;1;2;2;2;1;6
17;64039391;3D12A43;14.12.2019 08:35;14.12.2019 08:41;teilgenommen und beendet;;1;5;3;1;5;2;3;0;3;0;5;1;4;0;3;1;5;2;10
18;64039392;3D12A44;14.12.2019 08:35;14.12.2019 08:41;teilgenommen und beendet;;0;1;2;0;5;0;2;5;5;1;4;1;2;1;4;1;2;3;4
19;64039393;3D12A45;14.12.2019 08:35;14.12.2019 08:41;teilgenommen und beendet;;4;1;0;5;0;3;1;0;4;2;1;2;5;4;2;1;1;4;10
20;64039394;3D12A46;14.12.2019 08:35;14.12.2019 08:41;teilgenommen und beendet;;1;3;1;3;2;0;2;2;5;2;2;2;5;4;0;2;0;1;8
