MitarbeiterID;_Antwort-ID;Resume-Code;Start;Datum und Zeit;Teilnahmestatus;5. Bitte beantworten Sie jede der nachfolgenden Fragen;Meine Arbeit ist für mich nur noch Routine, ich habe keinen persönlichen Bezug dazu.;Es fällt mir immer schwerer, mich bei der Arbeit auf andere Menschen einzustellen.;Ich kann anderen Menschen bei meiner Arbeit immer weniger Wertschätzung entgegen bringen.;Meine Kunden/Kollegen sind mir zunehmend gleichgültig.;Ich bemerke, dass ich in meinem Arbeitsalltag immer zynischer werde.;Ich lasse nichts mehr an mich herankommen.;Ich fühle mich häufig müde oder ausgelaugt.;Es fällt mir schwer, mich zu meiner Arbeit aufzuraffen.;Ich bin oft gereizt.;Ich fühle mich häufig körperlich geschwächt.;Meine Arbeit macht mir keine Freude mehr;Ich fühle mich häufig emotional erschöpft.;Ich erhalte kaum positive Rückmeldungen über meine Arbeitsleistung.;Ich zweifle häufig daran, dass meine Arbeit sinnvoll ist.;Die Anforderungen an mich sind in den letzten Jahren immer höher geworden;Ich habe das Gefühl, dass ich immer mehr mache und trotzdem immer weniger bewältige.;Egal, wie sehr ich mich bemühe, ich erreiche nichts.;Ich glaube, dass alle meine Anstrengungen letztlich wirkungslos bleibe;6. Auf einer Skala von 1 (sehr schlecht) bis 10 (sehr gut) würde ich meine Stimmung seit der letzten Umfrage wie folgt bewerten:
1;64039155;3D12957;10.01.2019 14:30;10.01.2019 14:36;teilgenommen und beendet;;1;4;5;2;4;0;3;0;2;2;3;1;2;0;0;0;2;4;10
2;64039156;3D12958;10.01.2019 14:30;10.01.2019 14:36;teilgenommen und beendet;;5;1;5;4;5;0;1;2;3;0;0;0;3;0;0;2;0;1;9
3;64039157;3D12959;10.01.2019 14:30;10.01.2019 14:36;teilgenommen und beendet;;5;0;5;5;1;0;5;2;3;3;0;0;2;3;5;3;1;1;8
4;64039158;3D1295A;10.01.2019 14:30;10.01.2019 14:36;teilgenommen und beendet;;1;3;1;0;1;2;3;2;5;4;1;3;0;2;1;4;4;1;4
5;64039159;3D1295B;10.01.2019 14:30;10.01.2019 14:36;teilgenommen und beendet;;1;0;2;5;0;1;5;4;2;5;1;3;4;1;0;5;1;3;4
6;64039160;3D1295C;10.01.2019 14:30;10.01.2019 14:36;teilgenommen und beendet;;5;2;1;4;0;5;5;2;3;5;0;0;1;4;1;2;5;2;7
7;64039161;3D1295D;10.01.2019 14:30;10.01.2019 14:36;teilgenommen und beendet;;4;3;1;2;3;0;5;1;4;1;3;4;2;2;2;5;4;2;10
8;64039162;3D1295E;10.01.2019 14:30;10.01.2019 14:36;teilgenommen und beendet;;4;3;4;0;5;2;4;0;1;1;3;4;4;5;2;3;1;3;5
9;64039163;3D1295F;10.01.2019 14:30;10.01.2019 14:36;teilgenommen und beendet;;4;2;2;5;1;0;0;4;5;0;4;0;4;2;3;2;4;0;9
10;64039164;3D12960;10.01.2019 14:30;10.01.2019 14:36;teilgenommen und beendet;;5;4;0;3;1;5;2;0;5;0;5;5;0;4;2;1;3;2;10
11;64039165;3D12961;10.01.2019 14:30;10.01.2019 14:36;teilgenommen und beendet;;3;5;1;2;5;5;2;2;5;2;0;2;3;2;4;0;4;4;7
12;64039166;3D12962;10.01.2019 14:30;10.01.2019 14:36;teilgenommen und beendet;;1;5;1;1;3;4;1;4;0;0;0;5;4;4;4;3;4;1;8
13;64039167;3D12963;10.01.2019 14:30;10.01.2019 14:36;teilgenommen und beendet;;1;3;5;1;3;3;5;1;1;3;0;2;5;1;2;3;2;1;6
14;64039168;3D12964;10.01.2019 14:30;10.01.2019 14:36;teilgenommen und beendet;;4;5;0;2;3;3;0;3;5;5;4;2;4;4;3;2;4;3;7
15;64039169;3D12965;10.01.2019 14:30;10.01.2019 14:36;teilgenommen und beendet;;0;2;2;0;1;5;2;4;0;2;2;0;2;5;5;4;0;4;2
16;64039170;3D12966;10.01.2019 14:30;10.01.2019 14:36;teilgenommen und beendet;;0;2;4;5;2;0;2;2;1;4;4;0;3;1;5;4;4;1;7
17;64039171;3D12967;10.01.2019 14:30;10.01.2019 14:36;teilgenommen und beendet;;4;3;1;5;1;3;5;0;1;4;2;1;2;5;5;3;1;4;3
18;64039172;3D12968;10.01.2019 14:30;10.01.2019 14:36;teilgenommen und beendet;;1;0;4;4;1;3;0;1;2;2;1;4;2;1;3;5;4;1;4
19;64039173;3D12969;10.01.2019 14:30;10.01.2019 14:36;teilgenommen und beendet;;4;1;0;0;4;5;3;0;4;0;0;3;2;1;3;4;3;2;4
20;64039174;3D1296A;10.01.2019 14:30;10.01.2019 14:36;teilgenommen und beendet;;0;3;3;2;5;0;5;5;2;5;4;4;1;1;5;2;1;0;10
