MitarbeiterID;_Antwort-ID;Resume-Code;Start;Datum und Zeit;Teilnahmestatus;5. Bitte beantworten Sie jede der nachfolgenden Fragen;Meine Arbeit ist für mich nur noch Routine, ich habe keinen persönlichen Bezug dazu.;Es fällt mir immer schwerer, mich bei der Arbeit auf andere Menschen einzustellen.;Ich kann anderen Menschen bei meiner Arbeit immer weniger Wertschätzung entgegen bringen.;Meine Kunden/Kollegen sind mir zunehmend gleichgültig.;Ich bemerke, dass ich in meinem Arbeitsalltag immer zynischer werde.;Ich lasse nichts mehr an mich herankommen.;Ich fühle mich häufig müde oder ausgelaugt.;Es fällt mir schwer, mich zu meiner Arbeit aufzuraffen.;Ich bin oft gereizt.;Ich fühle mich häufig körperlich geschwächt.;Meine Arbeit macht mir keine Freude mehr;Ich fühle mich häufig emotional erschöpft.;Ich erhalte kaum positive Rückmeldungen über meine Arbeitsleistung.;Ich zweifle häufig daran, dass meine Arbeit sinnvoll ist.;Die Anforderungen an mich sind in den letzten Jahren immer höher geworden;Ich habe das Gefühl, dass ich immer mehr mache und trotzdem immer weniger bewältige.;Egal, wie sehr ich mich bemühe, ich erreiche nichts.;Ich glaube, dass alle meine Anstrengungen letztlich wirkungslos bleibe;6. Auf einer Skala von 1 (sehr schlecht) bis 10 (sehr gut) würde ich meine Stimmung seit der letzten Umfrage wie folgt bewerten:
1;64039235;3D129A7;16.05.2019 11:30;16.05.2019 11:36;teilgenommen und beendet;;0;0;3;1;5;2;2;2;0;2;3;4;4;1;2;5;4;0;3
2;64039236;3D129A8;16.05.2019 11:30;16.05.2019 11:36;teilgenommen und beendet;;2;3;2;4;0;0;3;1;4;1;4;1;4;3;3;1;0;0;3
3;64039237;3D129A9;16.05.2019 11:30;16.05.2019 11:36;teilgenommen und beendet;;5;0;4;5;5;1;5;3;4;3;0;5;2;4;1;3;0;5;10
4;64039238;3D129AA;16.05.2019 11:30;16.05.2019 11:36;teilgenommen und beendet;;1;5;5;3;2;2;0;3;5;2;2;5;0;3;4;0;1;3;7
5;64039239;3D129AB;16.05.2019 11:30;16.05.2019 11:36;teilgenommen und beendet;;4;4;4;2;3;4;1;3;2;3;3;2;0;2;0;2;5;1;10
6;64039240;3D129AC;16.05.2019 11:30;16.05.2019 11:36;teilgenommen und beendet;;2;3;1;5;3;0;5;5;0;0;4;2;2;1;1;2;1;2;3
7;64039241;3D129AD;16.05.2019 11:30;16.05.2019 11:36;teilgenommen und beendet;;2;3;2;2;1;4;1;3;4;5;1;0;5;5;4;2;1;3;9
8;64039242;3D129AE;16.05.2019 11:30;16.05.2019 11:36;teilgenommen und beendet;;0;4;0;5;5;1;1;1;4;4;4;1;1;3;3;1;1;2;8
9;64039243;3D129AF;16.05.2019 11:30;16.05.2019 11:36;teilgenommen und beendet;;5;1;5;1;3;1;0;0;5;3;0;1;4;4;4;5;5;5;5
10;64039244;3D129B0;16.05.2019 11:30;16.05.2019 11:36;teilgenommen und beendet;;0;5;4;0;0;5;3;3;5;5;0;2;0;4;0;4;4;2;3
11;64039245;3D129B1;16.05.2019 11:30;16.05.2019 11:36;teilgenommen und beendet;;5;0;4;0;3;1;5;3;0;5;2;3;3;0;5;5;4;5;9
12;64039246;3D129B2;16.05.2019 11:30;16.05.2019 11:36;teilgenommen und beendet;;3;5;3;5;3;0;4;4;0;5;2;3;4;5;5;3;2;2;10
13;64039247;3D129B3;16.05.2019 11:30;16.05.2019 11:36;teilgenommen und beendet;;3;4;3;5;1;2;2;4;1;2;0;0;5;0;4;5;2;3;10
14;64039248;3D129B4;16.05.2019 11:30;16.05.2019 11:36;teilgenommen und beendet;;5;1;0;0;3;0;0;0;1;2;4;5;5;1;5;5;3;5;4
15;64039249;3D129B5;16.05.2019 11:30;16.05.2019 11:36;teilgenommen und beendet;;2;5;2;5;2;5;1;2;1;4;0;0;0;3;1;3;1;1;5
16;64039250;3D129B6;16.05.2019 11:30;16.05.2019 11:36;teilgenommen und beendet;;4;3;0;1;2;2;0;5;3;0;5;4;2;5;0;1;4;4;5
17;64039251;3D129B7;16.05.2019 11:30;16.05.2019 11:36;teilgenommen und beendet;;1;3;5;3;3;1;0;0;0;3;1;2;1;2;2;1;0;3;7
18;64039252;3D129B8;16.05.2019 11:30;16.05.2019 11:36;teilgenommen und beendet;;2;2;1;5;3;5;5;1;0;1;4;0;5;2;4;5;0;5;2
19;64039253;3D129B9;16.05.2019 11:30;16.05.2019 11:36;teilgenommen und beendet;;0;1;0;3;5;2;3;3;5;5;4;4;1;3;5;1;3;5;8
20;64039254;3D129BA;16.05.2019 11:30;16.05.2019 11:36;teilgenommen und beendet;;1;4;2;5;2;1;0;1;0;4;2;3;0;3;3;0;2;1;6
