MitarbeiterID;_Antwort-ID;Resume-Code;Start;Datum und Zeit;Teilnahmestatus;5. Bitte beantworten Sie jede der nachfolgenden Fragen;Meine Arbeit ist für mich nur noch Routine, ich habe keinen persönlichen Bezug dazu.;Es fällt mir immer schwerer, mich bei der Arbeit auf andere Menschen einzustellen.;Ich kann anderen Menschen bei meiner Arbeit immer weniger Wertschätzung entgegen bringen.;Meine Kunden/Kollegen sind mir zunehmend gleichgültig.;Ich bemerke, dass ich in meinem Arbeitsalltag immer zynischer werde.;Ich lasse nichts mehr an mich herankommen.;Ich fühle mich häufig müde oder ausgelaugt.;Es fällt mir schwer, mich zu meiner Arbeit aufzuraffen.;Ich bin oft gereizt.;Ich fühle mich häufig körperlich geschwächt.;Meine Arbeit macht mir keine Freude mehr;Ich fühle mich häufig emotional erschöpft.;Ich erhalte kaum positive Rückmeldungen über meine Arbeitsleistung.;Ich zweifle häufig daran, dass meine Arbeit sinnvoll ist.;Die Anforderungen an mich sind in den letzten Jahren immer höher geworden;Ich habe das Gefühl, dass ich immer mehr mache und trotzdem immer weniger bewältige.;Egal, wie sehr ich mich bemühe, ich erreiche nichts.;Ich glaube, dass alle meine Anstrengungen letztlich wirkungslos bleibe;6. Auf einer Skala von 1 (sehr schlecht) bis 10 (sehr gut) würde ich meine Stimmung seit der letzten Umfrage wie folgt bewerten:
1;64039315;3D129F7;15.09.2019 15:22;15.09.2019 15:28;teilgenommen und beendet;;0;5;0;0;3;3;4;1;1;2;3;0;2;0;0;4;1;3;8
2;64039316;3D129F8;15.09.2019 15:22;15.09.2019 15:28;teilgenommen und beendet;;1;2;2;1;5;3;2;1;5;5;1;3;3;0;0;2;3;1;9
3;64039317;3D129F9;15.09.2019 15:22;15.09.2019 15:28;teilgenommen und beendet;;0;1;5;0;4;3;3;0;5;4;5;1;4;1;3;4;2;1;5
4;64039318;3D129FA;15.09.2019 15:22;15.09.2019 15:28;teilgenommen und beendet;;5;3;0;2;3;1;4;5;0;4;0;2;1;2;2;1;2;2;5
5;64039319;3D129FB;15.09.2019 15:22;15.09.2019 15:28;teilgenommen und beendet;;4;3;2;5;5;4;4;5;1;0;3;3;1;5;3;1;2;4;6
6;64039320;3D129FC;15.09.2019 15:22;15.09.2019 15:28;teilgenommen und beendet;;5;2;5;5;5;5;0;2;3;2;4;1;3;1;2;1;0;1;8
7;64039321;3D129FD;15.09.2019 15:22;15.09.2019 15:28;teilgenommen und beendet;;2;1;1;2;5;2;3;5;1;0;3;2;4;4;3;1;0;5;9
8;64039322;3D129FE;15.09.2019 15:22;15.09.2019 15:28;teilgenommen und beendet;;4;5;5;2;0;5;4;4;1;3;1;5;1;3;0;5;1;3;9
9;64039323;3D129FF;15.09.2019 15:22;15.09.2019 15:28;teilgenommen und beendet;;5;0;0;5;1;0;2;4;1;4;0;1;1;4;2;2;3;2;5
10;64039324;3D12A00;15.09.2019 15:22;15.09.2019 15:28;teilgenommen und beendet;;0;2;3;3;2;1;2;1;0;5;2;4;4;5;5;4;3;5;7
11;64039325;3D12A01;15.09.2019 15:22;15.09.2019 15:28;teilgenommen und beendet;;4;4;4;4;4;1;3;5;5;0;2;2;4;1;0;1;1;2;2
12;64039326;3D12A02;15.09.2019 15:22;15.09.2019 15:28;teilgenommen und beendet;;2;3;4;1;4;5;5;4;2;4;0;1;1;1;4;0;2;4;2
13;64039327;3D12A03;15.09.2019 15:22;15.09.2019 15:28;teilgenommen und beendet;;1;0;0;4;5;3;3;3;2;3;2;5;3;4;2;2;1;2;3
14;64039328;3D12A04;15.09.2019 15:22;15.09.2019 15:28;teilgenommen und beendet;;2;2;0;1;5;1;3;0;3;4;1;1;2;5;3;0;0;2;9
15;64039329;3D12A05;15.09.2019 15:22;15.09.2019 15:28;teilgenommen und beendet;;3;3;2;4;2;2;1;1;1;5;1;1;5;2;1;4;3;4;1
16;64039330;3D12A06;15.09.2019 15:22;15.09.2019 15:28;teilgenommen und beendet;;2;5;5;0;3;5;4;2;5;0;1;4;1;2;5;5;3;0;10
17;64039331;3D12A07;15.09.2019 15:22;15.09.2019 15:28;teilgenommen und beendet;;4;4;2;2;3;3;3;2;1;2;1;3;5;3;2;1;4;5;1
18;64039332;3D12A08;15.09.2019 15:22;15.09.2019 15:28;teilgenommen und beendet;;4;0;5;4;4;3;1;5;2;2;1;0;1;1;2;0;3;4;6
19;64039333;3D12A09;15.09.2019 15:22;15.09.2019 15:28;teilgenommen und beendet;;5;2;2;0;3;2;1;2;2;0;1;4;5;5;0;3;1;5;4
20;64039334;3D12A0A;15.09.2019 15:22;15.09.2019 15:28;teilgenommen und beendet;;2;1;1;1;2;5;1;2;5;5;4;3;2;2;3;3;1;4;8
