MitarbeiterID;_Antwort-ID;Resume-Code;Start;Datum und Zeit;Teilnahmestatus;5. Bitte beantworten Sie jede der nachfolgenden Fragen;Meine Arbeit ist für mich nur noch Routine, ich habe keinen persönlichen Bezug dazu.;Es fällt mir immer schwerer, mich bei der Arbeit auf andere Menschen einzustellen.;Ich kann anderen Menschen bei meiner Arbeit immer weniger Wertschätzung entgegen bringen.;Meine Kunden/Kollegen sind mir zunehmend gleichgültig.;Ich bemerke, dass ich in meinem Arbeitsalltag immer zynischer werde.;Ich lasse nichts mehr an mich herankommen.;Ich fühle mich häufig müde oder ausgelaugt.;Es fällt mir schwer, mich zu meiner Arbeit aufzuraffen.;Ich bin oft gereizt.;Ich fühle mich häufig körperlich geschwächt.;Meine Arbeit macht mir keine Freude mehr;Ich fühle mich häufig emotional erschöpft.;Ich erhalte kaum positive Rückmeldungen über meine Arbeitsleistung.;Ich zweifle häufig daran, dass meine Arbeit sinnvoll ist.;Die Anforderungen an mich sind in den letzten Jahren immer höher geworden;Ich habe das Gefühl, dass ich immer mehr mache und trotzdem immer weniger bewältige.;Egal, wie sehr ich mich bemühe, ich erreiche nichts.;Ich glaube, dass alle meine Anstrengungen letztlich wirkungslos bleibe;6. Auf einer Skala von 1 (sehr schlecht) bis 10 (sehr gut) würde ich meine Stimmung seit der letzten Umfrage wie folgt bewerten:
1;64039175;3D1296B;17.02.2019 12:15;17.02.2019 12:21;teilgenommen und beendet;;2;0;4;4;2;2;0;0;5;1;3;4;1;1;4;5;0;3;4
2;64039176;3D1296C;17.02.2019 12:15;17.02.2019 12:21;teilgenommen und beendet;;3;3;2;1;1;3;0;3;0;5;0;1;4;1;2;4;3;4;1
3;64039177;3D1296D;17.02.2019 12:15;17.02.2019 12:21;teilgenommen und beendet;;0;2;0;1;0;1;4;0;5;1;0;0;1;3;2;0;0;2;2
4;64039178;3D1296E;17.02.2019 12:15;17.02.2019 12:21;teilgenommen und beendet;;4;0;0;5;4;1;0;5;1;2;0;3;5;3;5;4;2;3;2
5;64039179;3D1296F;17.02.2019 12:15;17.02.2019 12:21;teilgenommen und beendet;;4;2;1;2;4;0;2;0;0;1;5;4;5;0;4;5;0;0;6
6;64039180;3D12970;17.02.2019 12:15;17.02.2019 12:21;teilgenommen und beendet;;1;2;3;0;1;5;1;2;4;5;2;2;0;2;1;4;5;3;3
7;64039181;3D12971;17.02.2019 12:15;17.02.2019 12:21;teilgenommen und beendet;;1;0;2;0;5;5;0;0;1;0;5;3;5;3;0;2;3;4;4
8;64039182;3D12972;17.02.2019 12:15;17.02.2019 12:21;teilgenommen und beendet;;2;1;2;1;0;2;5;5;1;0;4;1;4;2;5;3;2;5;3
9;64039183;3D12973;17.02.2019 12:15;17.02.2019 12:21;teilgenommen und beendet;;4;5;2;5;2;5;1;3;4;3;4;1;1;1;5;0;3;5;3
10;64039184;3D12974;17.02.2019 12:15;17.02.2019 12:21;teilgenommen und beendet;;2;3;2;5;2;2;2;2;1;0;0;1;1;1;3;4;0;3;1
11;64039185;3D12975;17.02.2019 12:15;17.02.2019 12:21;teilgenommen und beendet;;5;0;5;1;1;1;3;1;5;1;0;5;0;2;1;0;1;4;5
12;64039186;3D12976;17.02.2019 12:15;17.02.2019 12:21;teilgenommen und beendet;;5;3;5;2;1;0;4;2;4;1;2;1;3;3;2;0;3;3;1
13;64039187;3D12977;17.02.2019 12:15;17.02.2019 12:21;teilgenommen und beendet;;0;4;1;2;1;1;3;4;0;1;3;4;4;2;5;3;2;0;5
14;64039188;3D12978;17.02.2019 12:15;17.02.2019 12:21;teilgenommen und beendet;;5;4;5;3;2;5;2;1;0;1;1;4;5;4;1;0;5;4;9
15;64039189;3D12979;17.02.2019 12:15;17.02.2019 12:21;teilgenommen und beendet;;4;2;1;5;3;5;5;5;3;1;2;5;3;2;1;4;4;3;7
16;64039190;3D1297A;17.02.2019 12:15;17.02.2019 12:21;teilgenommen und beendet;;0;1;0;2;1;2;1;1;5;1;3;4;5;1;2;5;4;1;2
17;64039191;3D1297B;17.02.2019 12:15;17.02.2019 12:21;teilgenommen und beendet;;3;2;0;0;5;5;3;4;2;0;3;3;4;2;3;5;1;3;4
18;64039192;3D1297C;17.02.2019 12:15;17.02.2019 12:21;teilgenommen und beendet;;1;1;3;0;1;2;5;5;1;3;3;1;5;2;3;1;2;3;8
19;64039193;3D1297D;17.02.2019 12:15;17.02.2019 12:21;teilgenommen und beendet;;0;1;1;0;1;1;2;3;5;4;5;4;4;5;0;1;5;0;4
20;64039194;3D1297E;17.02.2019 12:15;17.02.2019 12:21;teilgenommen und beendet;;2;2;1;0;1;5;3;4;4;5;4;3;0;5;1;4;1;5;10
