MitarbeiterID;_Antwort-ID;Resume-Code;Start;Datum und Zeit;Teilnahmestatus;5. Bitte beantworten Sie jede der nachfolgenden Fragen;Meine Arbeit ist für mich nur noch Routine, ich habe keinen persönlichen Bezug dazu.;Es fällt mir immer schwerer, mich bei der Arbeit auf andere Menschen einzustellen.;Ich kann anderen Menschen bei meiner Arbeit immer weniger Wertschätzung entgegen bringen.;Meine Kunden/Kollegen sind mir zunehmend gleichgültig.;Ich bemerke, dass ich in meinem Arbeitsalltag immer zynischer werde.;Ich lasse nichts mehr an mich herankommen.;Ich fühle mich häufig müde oder ausgelaugt.;Es fällt mir schwer, mich zu meiner Arbeit aufzuraffen.;Ich bin oft gereizt.;Ich fühle mich häufig körperlich geschwächt.;Meine Arbeit macht mir keine Freude mehr;Ich fühle mich häufig emotional erschöpft.;Ich erhalte kaum positive Rückmeldungen über meine Arbeitsleistung.;Ich zweifle häufig daran, dass meine Arbeit sinnvoll ist.;Die Anforderungen an mich sind in den letzten Jahren immer höher geworden;Ich habe das Gefühl, dass ich immer mehr mache und trotzdem immer weniger bewältige.;Egal, wie sehr ich mich bemühe, ich erreiche nichts.;Ich glaube, dass alle meine Anstrengungen letztlich wirkungslos bleibe;6. Auf einer Skala von 1 (sehr schlecht) bis 10 (sehr gut) würde ich meine Stimmung seit der letzten Umfrage wie folgt bewerten:
1;64039195;3D1297F;18.03.2019 09:20;18.03.2019 09:26;teilgenommen und beendet;;5;0;4;0;0;1;4;3;5;5;2;0;3;5;0;4;1;3;2
2;64039196;3D12980;18.03.2019 09:20;18.03.2019 09:26;teilgenommen und beendet;;4;5;2;4;5;5;3;0;0;2;5;2;1;4;0;0;3;1;3
3;64039197;3D12981;18.03.2019 09:20;18.03.2019 09:26;teilgenommen und beendet;;3;5;5;2;1;5;4;4;3;2;2;5;0;0;0;1;2;1;1
4;64039198;3D12982;18.03.2019 09:20;18.03.2019 09:26;teilgenommen und beendet;;0;2;0;3;4;5;4;4;4;2;3;4;3;3;4;1;5;1;7
5;64039199;3D12983;18.03.2019 09:20;18.03.2019 09:26;teilgenommen und beendet;;3;4;2;0;5;2;2;0;4;1;0;0;1;3;0;1;0;1;8
6;64039200;3D12984;18.03.2019 09:20;18.03.2019 09:26;teilgenommen und beendet;;3;4;0;2;3;5;2;5;3;3;0;3;4;2;1;5;4;1;4
7;64039201;3D12985;18.03.2019 09:20;18.03.2019 09:26;teilgenommen und beendet;;4;5;2;1;2;4;4;2;5;0;5;3;2;5;2;4;3;2;6
8;64039202;3D12986;18.03.2019 09:20;18.03.2019 09:26;teilgenommen und beendet;;5;0;3;5;0;2;1;5;0;1;1;2;0;1;3;1;3;1;2
9;64039203;3D12987;18.03.2019 09:20;18.03.2019 09:26;teilgenommen und beendet;;1;5;3;0;0;3;3;3;2;2;5;0;1;1;4;0;2;5;3
10;64039204;3D12988;18.03.2019 09:20;18.03.2019 09:26;teilgenommen und beendet;;5;3;5;2;4;5;1;4;4;2;3;1;5;3;4;2;1;5;4
11;64039205;3D12989;18.03.2019 09:20;18.03.2019 09:26;teilgenommen und beendet;;0;5;1;5;4;0;5;5;4;5;5;0;1;5;1;4;1;2;1
12;64039206;3D1298A;18.03.2019 09:20;18.03.2019 09:26;teilgenommen und beendet;;5;0;5;5;4;3;2;0;0;0;1;2;0;1;4;1;2;2;6
13;64039207;3D1298B;18.03.2019 09:20;18.03.2019 09:26;teilgenommen und beendet;;5;5;2;3;3;2;4;3;2;3;4;3;5;5;4;3;1;5;3
14;64039208;3D1298C;18.03.2019 09:20;18.03.2019 09:26;teilgenommen und beendet;;3;4;1;5;2;2;5;1;0;2;3;5;4;4;0;3;5;2;5
15;64039209;3D1298D;18.03.2019 09:20;18.03.2019 09:26;teilgenommen und beendet;;2;4;5;2;1;5;5;1;0;0;4;3;2;2;5;0;3;1;5
16;64039210;3D1298E;18.03.2019 09:20;18.03.2019 09:26;teilgenommen und beendet;;3;3;3;3;0;2;0;3;4;1;2;4;4;5;0;3;0;5;7
17;64039211;3D1298F;18.03.2019 09:20;18.03.2019 09:26;teilgenommen und beendet;;5;1;2;5;3;2;2;3;0;0;3;3;0;4;5;5;2;2;4
18;64039212;3D12990;18.03.2019 09:20;18.03.2019 09:26;teilgenommen und beendet;;1;1;2;2;3;1;3;4;4;2;0;2;4;3;5;2;2;3;2
19;64039213;3D12991;18.03.2019 09:20;18.03.2019 09:26;teilgenommen und beendet;;0;1;3;5;3;5;0;0;2;5;0;2;0;2;1;3;1;4;10
20;64039214;3D12992;18.03.2019 09:20;18.03.2019 09:26;teilgenommen und beendet;;4;3;5;2;3;3;4;1;1;5;3;5;5;3;2;0;5;4;9
